sku,sale_date,units_sold,revenue
flank-steak,2025-01-10,14.93,537.33
blade-thin-sliced,2025-01-10,100.07,2500.75
pork-belly-thin-cut,2025-01-10,76.83,998.02
wagyu-flatiron-thin,2025-01-10,7.89,520.66
tomahawk-steak,2025-01-10,6.0,577.39
tenderloin-steak,2025-01-10,4.57,301.57
brisket-whole-trimmed,2025-01-10,16.05,304.79
eye-of-round-roast,2025-01-10,24.46,488.96
beef-stew-meat,2025-01-10,23.84,405.04
skirt-steak,2025-01-10,9.9,386.0
osso-buco,2025-01-10,7.42,133.49
ground-beef-medium,2025-01-10,130.32,1823.18
pork-chops-bnls,2025-01-10,52.86,792.37
pulled-pork-roast,2025-01-10,20.46,224.86
chuck-roast,2025-01-11,51.36,1206.45
striploin-steak-bnls,2025-01-11,62.88,2703.21
ribeye-steak-bnls,2025-01-11,19.11,955.31
short-ribs-simmering,2025-01-11,72.18,3247.38
top-sirloin-steak-cr,2025-01-11,40.67,1382.37
flank-steak,2025-01-11,26.73,962.01
blade-thin-sliced,2025-01-11,171.44,4284.29
pork-belly-thin-cut,2025-01-11,130.91,1700.52
wagyu-flatiron-thin,2025-01-11,16.49,1088.18
tomahawk-steak,2025-01-11,11.0,1058.56
tenderloin-steak,2025-01-11,8.18,539.8
brisket-whole-trimmed,2025-01-11,29.5,560.2
eye-of-round-roast,2025-01-11,35.36,706.85
beef-stew-meat,2025-01-11,37.27,633.22
skirt-steak,2025-01-11,19.15,746.66
osso-buco,2025-01-11,13.57,244.12
ground-beef-medium,2025-01-11,168.23,2353.54
pork-chops-bnls,2025-01-11,67.65,1014.07
pulled-pork-roast,2025-01-11,48.53,533.34
chuck-roast,2025-01-12,59.83,1405.41
striploin-steak-bnls,2025-01-12,64.98,2793.49
ribeye-steak-bnls,2025-01-12,21.14,1056.79
short-ribs-simmering,2025-01-12,100.15,4505.75
top-sirloin-steak-cr,2025-01-12,34.9,1186.25
flank-steak,2025-01-12,19.89,715.84
blade-thin-sliced,2025-01-12,181.64,4539.18
pork-belly-thin-cut,2025-01-12,126.66,1645.31
wagyu-flatiron-thin,2025-01-12,15.92,1050.56
tomahawk-steak,2025-01-12,9.0,866.09
tenderloin-steak,2025-01-12,8.3,547.72
brisket-whole-trimmed,2025-01-12,36.66,696.17
eye-of-round-roast,2025-01-12,31.32,626.09
beef-stew-meat,2025-01-12,38.24,649.7
skirt-steak,2025-01-12,12.47,486.21
osso-buco,2025-01-12,13.2,237.47
ground-beef-medium,2025-01-12,176.07,2463.22
pork-chops-bnls,2025-01-12,68.87,1032.36
pulled-pork-roast,2025-01-12,35.86,394.1
chuck-roast,2025-01-13,34.02,799.13
striploin-steak-bnls,2025-01-13,49.38,2122.85
ribeye-steak-bnls,2025-01-13,11.33,566.39
short-ribs-simmering,2025-01-13,62.19,2797.93
top-sirloin-steak-cr,2025-01-13,20.89,710.05
flank-steak,2025-01-13,12.77,459.59
blade-thin-sliced,2025-01-13,119.76,2992.8
pork-belly-thin-cut,2025-01-13,94.41,1226.39
wagyu-flatiron-thin,2025-01-13,10.39,685.64
tomahawk-steak,2025-01-13,6.0,577.39
tenderloin-steak,2025-01-13,3.26,215.13
brisket-whole-trimmed,2025-01-13,17.24,327.39
eye-of-round-roast,2025-01-13,22.78,455.37
beef-stew-meat,2025-01-13,27.12,460.77
skirt-steak,2025-01-13,7.78,303.34
osso-buco,2025-01-13,7.16,128.81
ground-beef-medium,2025-01-13,136.46,1909.08
pork-chops-bnls,2025-01-13,71.77,1075.83
pulled-pork-roast,2025-01-13,27.7,304.42
chuck-roast,2025-01-14,31.97,750.98
striploin-steak-bnls,2025-01-14,42.77,1838.68
ribeye-steak-bnls,2025-01-14,11.15,557.39
short-ribs-simmering,2025-01-14,57.74,2597.72
top-sirloin-steak-cr,2025-01-14,22.98,781.09
flank-steak,2025-01-14,15.34,552.09
blade-thin-sliced,2025-01-14,97.36,2433.03
pork-belly-thin-cut,2025-01-14,81.86,1063.36
wagyu-flatiron-thin,2025-01-14,6.85,452.03
tomahawk-steak,2025-01-14,6.0,577.39
tenderloin-steak,2025-01-14,3.12,205.89
brisket-whole-trimmed,2025-01-14,16.62,315.61
eye-of-round-roast,2025-01-14,19.93,398.4
beef-stew-meat,2025-01-14,26.26,446.16
skirt-steak,2025-01-14,7.17,279.56
osso-buco,2025-01-14,5.94,106.86
ground-beef-medium,2025-01-14,171.28,2396.21
pork-chops-bnls,2025-01-14,45.54,682.64
pulled-pork-roast,2025-01-14,19.41,213.32
chuck-roast,2025-01-15,44.11,1036.14
striploin-steak-bnls,2025-01-15,62.64,2692.89
ribeye-steak-bnls,2025-01-15,11.54,576.88
short-ribs-simmering,2025-01-15,59.3,2667.91
top-sirloin-steak-cr,2025-01-15,23.05,783.47
flank-steak,2025-01-15,16.33,587.72
blade-thin-sliced,2025-01-15,94.4,2359.06
pork-belly-thin-cut,2025-01-15,85.96,1116.62
wagyu-flatiron-thin,2025-01-15,9.71,640.76
tomahawk-steak,2025-01-15,6.0,577.39
tenderloin-steak,2025-01-15,3.39,223.71
brisket-whole-trimmed,2025-01-15,17.42,330.81
eye-of-round-roast,2025-01-15,18.78,375.41
beef-stew-meat,2025-01-15,25.81,438.51
skirt-steak,2025-01-15,8.57,334.14
osso-buco,2025-01-15,7.28,130.97
ground-beef-medium,2025-01-15,124.25,1738.26
pork-chops-bnls,2025-01-15,56.19,842.29
pulled-pork-roast,2025-01-15,24.98,274.53
chuck-roast,2025-01-16,36.07,847.28
striploin-steak-bnls,2025-01-16,46.16,1984.42
ribeye-steak-bnls,2025-01-16,13.36,667.87
short-ribs-simmering,2025-01-16,61.97,2788.03
top-sirloin-steak-cr,2025-01-16,20.3,690.0
flank-steak,2025-01-16,13.79,496.3
blade-thin-sliced,2025-01-16,105.0,2623.95
pork-belly-thin-cut,2025-01-16,113.7,1476.96
wagyu-flatiron-thin,2025-01-16,10.68,704.77
tomahawk-steak,2025-01-16,6.0,577.39
tenderloin-steak,2025-01-16,3.23,213.15
brisket-whole-trimmed,2025-01-16,15.5,294.34
eye-of-round-roast,2025-01-16,25.52,510.14
beef-stew-meat,2025-01-16,27.4,465.53
skirt-steak,2025-01-16,9.38,365.73
osso-buco,2025-01-16,5.75,103.44
ground-beef-medium,2025-01-16,148.36,2075.56
pork-chops-bnls,2025-01-16,56.08,840.64
pulled-pork-roast,2025-01-16,19.38,212.99
chuck-roast,2025-01-17,33.47,786.21
striploin-steak-bnls,2025-01-17,45.68,1963.78
ribeye-steak-bnls,2025-01-17,13.36,667.87
short-ribs-simmering,2025-01-17,59.84,2692.2
top-sirloin-steak-cr,2025-01-17,21.86,743.02
flank-steak,2025-01-17,12.88,463.55
blade-thin-sliced,2025-01-17,108.18,2703.42
pork-belly-thin-cut,2025-01-17,105.55,1371.09
wagyu-flatiron-thin,2025-01-17,6.51,429.59
tomahawk-steak,2025-01-17,6.0,577.39
tenderloin-steak,2025-01-17,3.62,238.88
brisket-whole-trimmed,2025-01-17,18.34,348.28
eye-of-round-roast,2025-01-17,21.17,423.19
beef-stew-meat,2025-01-17,21.53,365.79
skirt-steak,2025-01-17,9.21,359.1
osso-buco,2025-01-17,8.71,156.69
ground-beef-medium,2025-01-17,110.53,1546.31
pork-chops-bnls,2025-01-17,58.89,882.76
pulled-pork-roast,2025-01-17,21.28,233.87
chuck-roast,2025-01-18,48.33,1135.27
striploin-steak-bnls,2025-01-18,58.54,2516.63
ribeye-steak-bnls,2025-01-18,21.26,1062.79
short-ribs-simmering,2025-01-18,98.24,4419.82
top-sirloin-steak-cr,2025-01-18,42.71,1451.71
flank-steak,2025-01-18,27.22,979.65
blade-thin-sliced,2025-01-18,193.62,4838.56
pork-belly-thin-cut,2025-01-18,139.94,1817.82
wagyu-flatiron-thin,2025-01-18,19.63,1295.38
tomahawk-steak,2025-01-18,10.0,962.33
tenderloin-steak,2025-01-18,8.8,580.71
brisket-whole-trimmed,2025-01-18,29.9,567.8
eye-of-round-roast,2025-01-18,31.23,624.29
beef-stew-meat,2025-01-18,32.58,553.53
skirt-steak,2025-01-18,17.94,699.48
osso-buco,2025-01-18,11.53,207.42
ground-beef-medium,2025-01-18,213.85,2991.76
pork-chops-bnls,2025-01-18,77.88,1167.42
pulled-pork-roast,2025-01-18,45.82,503.56
chuck-roast,2025-01-19,53.26,1251.08
striploin-steak-bnls,2025-01-19,82.54,3548.39
ribeye-steak-bnls,2025-01-19,24.15,1207.26
short-ribs-simmering,2025-01-19,69.69,3135.35
top-sirloin-steak-cr,2025-01-19,39.52,1343.28
flank-steak,2025-01-19,19.24,692.45
blade-thin-sliced,2025-01-19,158.09,3950.67
pork-belly-thin-cut,2025-01-19,159.08,2066.45
wagyu-flatiron-thin,2025-01-19,17.2,1135.03
tomahawk-steak,2025-01-19,8.0,769.86
tenderloin-steak,2025-01-19,7.06,465.89
brisket-whole-trimmed,2025-01-19,31.1,590.59
eye-of-round-roast,2025-01-19,26.79,535.53
beef-stew-meat,2025-01-19,32.68,555.23
skirt-steak,2025-01-19,16.54,644.89
osso-buco,2025-01-19,15.25,274.35
ground-beef-medium,2025-01-19,209.46,2930.35
pork-chops-bnls,2025-01-19,60.58,908.09
pulled-pork-roast,2025-01-19,41.31,454.0
chuck-roast,2025-01-20,35.72,839.06
striploin-steak-bnls,2025-01-20,46.51,1999.46
ribeye-steak-bnls,2025-01-20,16.11,805.34
short-ribs-simmering,2025-01-20,48.42,2178.42
top-sirloin-steak-cr,2025-01-20,20.62,700.87
flank-steak,2025-01-20,14.25,512.86
blade-thin-sliced,2025-01-20,87.92,2197.12
pork-belly-thin-cut,2025-01-20,105.61,1371.87
wagyu-flatiron-thin,2025-01-20,9.25,610.41
tomahawk-steak,2025-01-20,7.0,673.63
tenderloin-steak,2025-01-20,3.31,218.43
brisket-whole-trimmed,2025-01-20,19.51,370.49
eye-of-round-roast,2025-01-20,25.15,502.75
beef-stew-meat,2025-01-20,27.31,464.0
skirt-steak,2025-01-20,9.1,354.81
osso-buco,2025-01-20,7.31,131.51
ground-beef-medium,2025-01-20,119.76,1675.44
pork-chops-bnls,2025-01-20,52.19,782.33
pulled-pork-roast,2025-01-20,21.73,238.81
chuck-roast,2025-01-21,37.07,870.77
striploin-steak-bnls,2025-01-21,49.88,2144.34
ribeye-steak-bnls,2025-01-21,11.7,584.88
short-ribs-simmering,2025-01-21,61.05,2746.64
top-sirloin-steak-cr,2025-01-21,26.42,898.02
flank-steak,2025-01-21,12.15,437.28
blade-thin-sliced,2025-01-21,96.28,2406.04
pork-belly-thin-cut,2025-01-21,90.69,1178.06
wagyu-flatiron-thin,2025-01-21,9.79,646.04
tomahawk-steak,2025-01-21,6.0,577.39
tenderloin-steak,2025-01-21,4.15,273.86
brisket-whole-trimmed,2025-01-21,19.61,372.39
eye-of-round-roast,2025-01-21,24.47,489.16
beef-stew-meat,2025-01-21,28.38,482.18
skirt-steak,2025-01-21,11.69,455.79
osso-buco,2025-01-21,6.91,124.31
ground-beef-medium,2025-01-21,104.5,1461.95
pork-chops-bnls,2025-01-21,64.35,964.61
pulled-pork-roast,2025-01-21,20.95,230.24
chuck-roast,2025-01-22,35.87,842.59
striploin-steak-bnls,2025-01-22,51.76,2225.16
ribeye-steak-bnls,2025-01-22,10.96,547.89
short-ribs-simmering,2025-01-22,53.35,2400.22
top-sirloin-steak-cr,2025-01-22,18.27,621.0
flank-steak,2025-01-22,12.08,434.76
blade-thin-sliced,2025-01-22,111.96,2797.88
pork-belly-thin-cut,2025-01-22,94.25,1224.31
wagyu-flatiron-thin,2025-01-22,9.15,603.81
tomahawk-steak,2025-01-22,5.0,481.16
tenderloin-steak,2025-01-22,2.69,177.51
brisket-whole-trimmed,2025-01-22,17.82,338.4
eye-of-round-roast,2025-01-22,20.92,418.19
beef-stew-meat,2025-01-22,28.06,476.74
skirt-steak,2025-01-22,9.63,375.47
osso-buco,2025-01-22,7.2,129.53
ground-beef-medium,2025-01-22,145.42,2034.43
pork-chops-bnls,2025-01-22,54.59,818.3
pulled-pork-roast,2025-01-22,23.58,259.14
chuck-roast,2025-01-23,32.55,764.6
striploin-steak-bnls,2025-01-23,43.32,1862.33
ribeye-steak-bnls,2025-01-23,13.59,679.36
short-ribs-simmering,2025-01-23,68.35,3075.07
top-sirloin-steak-cr,2025-01-23,21.11,717.53
flank-steak,2025-01-23,14.13,508.54
blade-thin-sliced,2025-01-23,102.9,2571.47
pork-belly-thin-cut,2025-01-23,87.29,1133.9
wagyu-flatiron-thin,2025-01-23,9.78,645.38
tomahawk-steak,2025-01-23,5.0,481.16
tenderloin-steak,2025-01-23,3.03,199.95
brisket-whole-trimmed,2025-01-23,14.83,281.62
eye-of-round-roast,2025-01-23,16.74,334.63
beef-stew-meat,2025-01-23,24.49,416.09
skirt-steak,2025-01-23,9.68,377.42
osso-buco,2025-01-23,6.84,123.05
ground-beef-medium,2025-01-23,135.96,1902.08
pork-chops-bnls,2025-01-23,60.5,906.89
pulled-pork-roast,2025-01-23,25.94,285.08
chuck-roast,2025-01-24,35.12,824.97
striploin-steak-bnls,2025-01-24,52.04,2237.2
ribeye-steak-bnls,2025-01-24,13.43,671.37
short-ribs-simmering,2025-01-24,56.06,2522.14
top-sirloin-steak-cr,2025-01-24,20.61,700.53
flank-steak,2025-01-24,11.12,400.21
blade-thin-sliced,2025-01-24,95.53,2387.29
pork-belly-thin-cut,2025-01-24,84.81,1101.68
wagyu-flatiron-thin,2025-01-24,9.75,643.4
tomahawk-steak,2025-01-24,7.0,673.63
tenderloin-steak,2025-01-24,3.0,197.97
brisket-whole-trimmed,2025-01-24,18.56,352.45
eye-of-round-roast,2025-01-24,19.54,390.6
beef-stew-meat,2025-01-24,28.11,477.59
skirt-steak,2025-01-24,8.71,339.6
osso-buco,2025-01-24,5.69,102.36
ground-beef-medium,2025-01-24,148.37,2075.7
pork-chops-bnls,2025-01-24,49.41,740.66
pulled-pork-roast,2025-01-24,20.76,228.15
chuck-roast,2025-01-25,42.84,1006.31
striploin-steak-bnls,2025-01-25,61.4,2639.59
ribeye-steak-bnls,2025-01-25,23.29,1164.27
short-ribs-simmering,2025-01-25,82.22,3699.08
top-sirloin-steak-cr,2025-01-25,41.43,1408.21
flank-steak,2025-01-25,23.11,831.73
blade-thin-sliced,2025-01-25,196.97,4922.28
pork-belly-thin-cut,2025-01-25,127.45,1655.58
wagyu-flatiron-thin,2025-01-25,13.35,880.97
tomahawk-steak,2025-01-25,10.0,962.33
tenderloin-steak,2025-01-25,7.66,505.48
brisket-whole-trimmed,2025-01-25,35.4,672.25
eye-of-round-roast,2025-01-25,32.44,648.48
beef-stew-meat,2025-01-25,34.86,592.27
skirt-steak,2025-01-25,16.61,647.62
osso-buco,2025-01-25,16.77,301.69
ground-beef-medium,2025-01-25,249.65,3492.6
pork-chops-bnls,2025-01-25,80.33,1204.15
pulled-pork-roast,2025-01-25,40.61,446.3
chuck-roast,2025-01-26,55.37,1300.64
striploin-steak-bnls,2025-01-26,60.01,2579.83
ribeye-steak-bnls,2025-01-26,23.03,1151.27
short-ribs-simmering,2025-01-26,83.84,3771.96
top-sirloin-steak-cr,2025-01-26,41.36,1405.83
flank-steak,2025-01-26,20.03,720.88
blade-thin-sliced,2025-01-26,139.08,3475.61
pork-belly-thin-cut,2025-01-26,103.63,1346.15
wagyu-flatiron-thin,2025-01-26,13.94,919.9
tomahawk-steak,2025-01-26,9.0,866.09
tenderloin-steak,2025-01-26,7.69,507.46
brisket-whole-trimmed,2025-01-26,39.06,741.75
eye-of-round-roast,2025-01-26,35.36,706.85
beef-stew-meat,2025-01-26,31.56,536.2
skirt-steak,2025-01-26,16.61,647.62
osso-buco,2025-01-26,12.65,227.57
ground-beef-medium,2025-01-26,188.24,2633.48
pork-chops-bnls,2025-01-26,81.46,1221.09
pulled-pork-roast,2025-01-26,42.9,471.47
chuck-roast,2025-01-27,34.0,798.66
striploin-steak-bnls,2025-01-27,50.27,2161.11
ribeye-steak-bnls,2025-01-27,11.58,578.88
short-ribs-simmering,2025-01-27,62.01,2789.83
top-sirloin-steak-cr,2025-01-27,30.19,1026.16
flank-steak,2025-01-27,13.64,490.9
blade-thin-sliced,2025-01-27,126.08,3150.74
pork-belly-thin-cut,2025-01-27,89.5,1162.61
wagyu-flatiron-thin,2025-01-27,9.49,626.25
tomahawk-steak,2025-01-27,6.0,577.39
tenderloin-steak,2025-01-27,3.47,228.99
brisket-whole-trimmed,2025-01-27,16.13,306.31
eye-of-round-roast,2025-01-27,23.3,465.77
beef-stew-meat,2025-01-27,23.99,407.59
skirt-steak,2025-01-27,9.59,373.91
osso-buco,2025-01-27,8.06,145.0
ground-beef-medium,2025-01-27,138.73,1940.83
pork-chops-bnls,2025-01-27,51.33,769.44
pulled-pork-roast,2025-01-27,23.37,256.84
chuck-roast,2025-01-28,34.13,801.71
striploin-steak-bnls,2025-01-28,49.5,2128.01
ribeye-steak-bnls,2025-01-28,10.67,533.39
short-ribs-simmering,2025-01-28,59.53,2678.25
top-sirloin-steak-cr,2025-01-28,17.44,592.79
flank-steak,2025-01-28,11.1,399.49
blade-thin-sliced,2025-01-28,125.04,3124.75
pork-belly-thin-cut,2025-01-28,98.52,1279.77
wagyu-flatiron-thin,2025-01-28,8.12,535.84
tomahawk-steak,2025-01-28,5.0,481.16
tenderloin-steak,2025-01-28,2.48,163.66
brisket-whole-trimmed,2025-01-28,16.59,315.04
eye-of-round-roast,2025-01-28,29.56,590.9
beef-stew-meat,2025-01-28,27.97,475.21
skirt-steak,2025-01-28,8.28,322.84
osso-buco,2025-01-28,7.49,134.75
ground-beef-medium,2025-01-28,110.18,1541.42
pork-chops-bnls,2025-01-28,51.26,768.39
pulled-pork-roast,2025-01-28,22.4,246.18
chuck-roast,2025-01-29,35.05,823.32
striploin-steak-bnls,2025-01-29,48.65,2091.46
ribeye-steak-bnls,2025-01-29,13.84,691.86
short-ribs-simmering,2025-01-29,67.12,3019.73
top-sirloin-steak-cr,2025-01-29,20.38,692.72
flank-steak,2025-01-29,14.78,531.93
blade-thin-sliced,2025-01-29,129.07,3225.46
pork-belly-thin-cut,2025-01-29,78.83,1024.0
wagyu-flatiron-thin,2025-01-29,7.96,525.28
tomahawk-steak,2025-01-29,7.0,673.63
tenderloin-steak,2025-01-29,3.46,228.33
brisket-whole-trimmed,2025-01-29,20.94,397.65
eye-of-round-roast,2025-01-29,20.99,419.59
beef-stew-meat,2025-01-29,31.6,536.88
skirt-steak,2025-01-29,8.99,350.52
osso-buco,2025-01-29,7.3,131.33
ground-beef-medium,2025-01-29,160.1,2239.8
pork-chops-bnls,2025-01-29,50.87,762.54
pulled-pork-roast,2025-01-29,19.78,217.38
chuck-roast,2025-01-30,33.56,788.32
striploin-steak-bnls,2025-01-30,46.72,2008.49
ribeye-steak-bnls,2025-01-30,11.01,550.39
short-ribs-simmering,2025-01-30,66.87,3008.48
top-sirloin-steak-cr,2025-01-30,20.75,705.29
flank-steak,2025-01-30,15.23,548.13
blade-thin-sliced,2025-01-30,79.78,1993.7
pork-belly-thin-cut,2025-01-30,80.58,1046.73
wagyu-flatiron-thin,2025-01-30,7.24,477.77
tomahawk-steak,2025-01-30,5.0,481.16
tenderloin-steak,2025-01-30,3.65,240.86
brisket-whole-trimmed,2025-01-30,17.33,329.1
eye-of-round-roast,2025-01-30,21.47,429.19
beef-stew-meat,2025-01-30,26.06,442.76
skirt-steak,2025-01-30,9.07,353.64
osso-buco,2025-01-30,6.28,112.98
ground-beef-medium,2025-01-30,144.5,2021.56
pork-chops-bnls,2025-01-30,57.49,861.78
pulled-pork-roast,2025-01-30,23.17,254.64
chuck-roast,2025-01-31,37.85,889.1
striploin-steak-bnls,2025-01-31,45.86,1971.52
ribeye-steak-bnls,2025-01-31,16.94,846.83
short-ribs-simmering,2025-01-31,61.32,2758.79
top-sirloin-steak-cr,2025-01-31,21.33,725.01
flank-steak,2025-01-31,12.13,436.56
