production_date,source_primal,planned_primal_kg,actual_primal_kg,status,shortfall_reason,data_source
2025-01-13,Plate,25.47,25.88,completed,,synthetic
2025-01-13,Pork Belly,198.13,157.43,partial,equipment,synthetic
2025-01-13,Pork Loin,125.87,117.22,completed,,synthetic
2025-01-13,Pork Shoulder,49.53,49.82,completed,,synthetic
2025-01-13,Round,116.4,112.8,completed,,synthetic
2025-01-13,Shank,16.78,16.59,completed,,synthetic
2025-01-13,Striploin Whole,114.31,65.34,partial,labor_short,synthetic
2025-01-13,Tenderloin,9.26,9.45,completed,,synthetic
2025-01-13,Top Sirloin Butt,53.07,51.42,completed,,synthetic
2025-01-13,Wagyu Flat Iron,21.48,21.74,completed,,synthetic
2025-01-14,6X6 Frenched,24.04,24.8,completed,,synthetic
2025-01-14,Blade Eyes,335.79,320.42,completed,,synthetic
2025-01-14,Bone-in Ribeye,39.92,20.66,partial,equipment,synthetic
2025-01-14,Brisket,41.96,40.23,completed,,synthetic
2025-01-14,Chuck Flat,152.22,150.36,completed,,synthetic
2025-01-14,Chuck Primal,290.73,297.99,completed,,synthetic
2025-01-14,Flank,33.43,33.21,completed,,synthetic
2025-01-14,Plate,25.47,25.96,completed,,synthetic
2025-01-14,Pork Belly,198.13,183.66,completed,,synthetic
2025-01-14,Pork Loin,125.87,91.24,partial,quality_hold,synthetic
2025-01-14,Pork Shoulder,49.53,50.64,completed,,synthetic
2025-01-14,Round,116.4,118.81,completed,,synthetic
2025-01-14,Shank,16.78,16.78,completed,,synthetic
2025-01-14,Striploin Whole,114.31,114.99,completed,,synthetic
2025-01-14,Tenderloin,9.26,9.25,completed,,synthetic
2025-01-14,Top Sirloin Butt,53.07,51.5,completed,,synthetic
2025-01-14,Wagyu Flat Iron,21.48,20.7,completed,,synthetic
2025-01-15,6X6 Frenched,24.04,18.76,partial,quality_hold,synthetic
2025-01-15,Blade Eyes,335.79,0.0,cancelled,stock_short,synthetic
2025-01-15,Bone-in Ribeye,39.92,41.9,completed,,synthetic
2025-01-15,Brisket,41.96,41.2,completed,,synthetic
2025-01-15,Chuck Flat,152.22,153.95,completed,,synthetic
2025-01-15,Chuck Primal,290.73,286.01,completed,,synthetic
2025-01-15,Flank,33.43,34.12,completed,,synthetic
2025-01-15,Plate,25.47,25.99,completed,,synthetic
2025-01-15,Pork Belly,198.13,192.21,completed,,synthetic
2025-01-15,Pork Loin,125.87,126.32,completed,,synthetic
2025-01-15,Pork Shoulder,49.53,49.38,completed,,synthetic
2025-01-15,Round,116.4,95.83,partial,quality_hold,synthetic
2025-01-15,Shank,16.78,15.92,completed,,synthetic
2025-01-15,Striploin Whole,114.31,114.51,completed,,synthetic
2025-01-15,Tenderloin,9.26,9.03,completed,,synthetic
2025-01-15,Top Sirloin Butt,53.07,54.87,completed,,synthetic
2025-01-15,Wagyu Flat Iron,21.48,21.72,completed,,synthetic
2025-01-16,6X6 Frenched,24.04,23.54,completed,,synthetic
2025-01-16,Blade Eyes,335.79,0.0,cancelled,stock_short,synthetic
2025-01-16,Bone-in Ribeye,39.92,39.43,completed,,synthetic
2025-01-16,Brisket,41.96,43.11,completed,,synthetic
2025-01-16,Chuck Flat,152.22,149.96,completed,,synthetic
2025-01-16,Chuck Primal,290.73,288.77,completed,,synthetic
2025-01-16,Flank,33.43,33.62,completed,,synthetic
2025-01-16,Plate,25.47,25.83,completed,,synthetic
2025-01-16,Pork Belly,198.13,194.3,completed,,synthetic
2025-01-16,Pork Loin,125.87,127.17,completed,,synthetic
2025-01-16,Pork Shoulder,49.53,45.15,completed,,synthetic
2025-01-16,Round,116.4,115.87,completed,,synthetic
2025-01-16,Shank,16.78,16.49,completed,,synthetic
2025-01-16,Striploin Whole,114.31,111.65,completed,,synthetic
2025-01-16,Tenderloin,9.26,9.14,completed,,synthetic
2025-01-16,Top Sirloin Butt,53.07,54.19,completed,,synthetic
2025-01-16,Wagyu Flat Iron,21.48,21.99,completed,,synthetic
2025-01-17,6X6 Frenched,30.05,29.0,completed,,synthetic
2025-01-17,Blade Eyes,425.29,428.1,completed,,synthetic
2025-01-17,Bone-in Ribeye,53.23,55.52,completed,,synthetic
2025-01-17,Brisket,57.69,57.78,completed,,synthetic
2025-01-17,Chuck Flat,179.4,173.13,completed,,synthetic
2025-01-17,Chuck Primal,358.57,349.28,completed,,synthetic
2025-01-17,Flank,44.58,24.87,partial,quality_hold,synthetic
2025-01-17,Plate,35.66,35.84,completed,,synthetic
2025-01-17,Pork Belly,247.66,243.65,completed,,synthetic
2025-01-17,Pork Loin,157.34,159.86,completed,,synthetic
2025-01-17,Pork Shoulder,69.35,69.45,completed,,synthetic
2025-01-17,Round,137.45,137.58,completed,,synthetic
2025-01-17,Shank,24.13,23.56,completed,,synthetic
2025-01-17,Striploin Whole,142.88,145.91,completed,,synthetic
2025-01-17,Tenderloin,15.05,7.54,partial,labor_short,synthetic
2025-01-17,Top Sirloin Butt,74.3,74.21,completed,,synthetic
2025-01-17,Wagyu Flat Iron,30.08,29.49,completed,,synthetic
2025-01-18,6X6 Frenched,36.06,35.19,completed,,synthetic
2025-01-18,Blade Eyes,514.78,523.31,completed,,synthetic
2025-01-18,Bone-in Ribeye,66.54,66.22,completed,,synthetic
2025-01-18,Brisket,73.42,72.32,completed,,synthetic
2025-01-18,Chuck Flat,206.59,114.59,partial,quality_hold,synthetic
2025-01-18,Chuck Primal,426.41,414.62,completed,,synthetic
2025-01-18,Flank,55.72,50.79,completed,,synthetic
2025-01-18,Plate,45.85,46.43,completed,,synthetic
2025-01-18,Pork Belly,297.19,289.81,completed,,synthetic
2025-01-18,Pork Loin,188.81,188.4,completed,,synthetic
2025-01-18,Pork Shoulder,89.16,90.51,completed,,synthetic
2025-01-18,Round,158.5,160.19,completed,,synthetic
2025-01-18,Shank,31.47,32.24,completed,,synthetic
2025-01-18,Striploin Whole,171.46,173.52,completed,,synthetic
2025-01-18,Tenderloin,20.84,21.63,completed,,synthetic
2025-01-18,Top Sirloin Butt,95.53,101.24,completed,,synthetic
2025-01-18,Wagyu Flat Iron,38.67,37.57,completed,,synthetic
2025-01-19,6X6 Frenched,30.05,29.35,completed,,synthetic
2025-01-19,Blade Eyes,425.29,437.48,completed,,synthetic
2025-01-19,Bone-in Ribeye,53.23,52.19,completed,,synthetic
2025-01-19,Brisket,57.69,35.04,partial,labor_short,synthetic
2025-01-19,Chuck Flat,179.4,177.98,completed,,synthetic
2025-01-19,Chuck Primal,358.57,351.39,completed,,synthetic
2025-01-19,Flank,44.58,46.28,completed,,synthetic
2025-01-19,Plate,35.66,35.53,completed,,synthetic
2025-01-19,Pork Belly,247.66,240.71,completed,,synthetic
2025-01-19,Pork Loin,157.34,150.63,completed,,synthetic
2025-01-19,Pork Shoulder,69.35,55.43,partial,labor_short,synthetic
2025-01-19,Round,137.45,74.94,partial,quality_hold,synthetic
2025-01-19,Shank,24.13,24.06,completed,,synthetic
2025-01-19,Striploin Whole,142.88,82.83,partial,equipment,synthetic
2025-01-19,Tenderloin,15.05,15.98,completed,,synthetic
2025-01-19,Top Sirloin Butt,74.3,73.49,completed,,synthetic
2025-01-19,Wagyu Flat Iron,30.08,30.03,completed,,synthetic
2025-01-20,6X6 Frenched,24.04,24.22,completed,,synthetic
2025-01-20,Blade Eyes,335.79,323.4,completed,,synthetic
2025-01-20,Bone-in Ribeye,39.92,38.8,completed,,synthetic
2025-01-20,Brisket,41.96,41.71,completed,,synthetic
2025-01-20,Chuck Flat,152.22,148.14,completed,,synthetic
2025-01-20,Chuck Primal,290.73,302.76,completed,,synthetic
2025-01-20,Flank,33.43,34.03,completed,,synthetic
2025-01-20,Plate,25.47,26.1,completed,,synthetic
2025-01-20,Pork Belly,198.13,192.32,completed,,synthetic
2025-01-20,Pork Loin,125.87,123.84,completed,,synthetic
2025-01-20,Pork Shoulder,49.53,49.68,completed,,synthetic
2025-01-20,Round,116.4,115.15,completed,,synthetic
2025-01-20,Shank,16.78,16.91,completed,,synthetic
2025-01-20,Striploin Whole,114.31,118.67,completed,,synthetic
2025-01-20,Tenderloin,9.26,9.13,completed,,synthetic
2025-01-20,Top Sirloin Butt,53.07,53.92,completed,,synthetic
2025-01-20,Wagyu Flat Iron,21.48,0.0,cancelled,stock_short,synthetic
2025-01-21,6X6 Frenched,24.04,23.85,completed,,synthetic
2025-01-21,Blade Eyes,335.79,340.19,completed,,synthetic
2025-01-21,Bone-in Ribeye,39.92,41.84,completed,,synthetic
2025-01-21,Brisket,41.96,41.22,completed,,synthetic
2025-01-21,Chuck Flat,152.22,150.34,completed,,synthetic
2025-01-21,Chuck Primal,290.73,274.88,completed,,synthetic
2025-01-21,Flank,33.43,33.03,completed,,synthetic
2025-01-21,Plate,25.47,20.84,partial,equipment,synthetic
2025-01-21,Pork Belly,198.13,188.64,completed,,synthetic
2025-01-21,Pork Loin,125.87,129.67,completed,,synthetic
2025-01-21,Pork Shoulder,49.53,49.53,completed,,synthetic
2025-01-21,Round,116.4,118.93,completed,,synthetic
2025-01-21,Shank,16.78,17.09,completed,,synthetic
2025-01-21,Striploin Whole,114.31,111.96,completed,,synthetic
2025-01-21,Tenderloin,9.26,9.34,completed,,synthetic
2025-01-21,Top Sirloin Butt,53.07,53.75,completed,,synthetic
2025-01-21,Wagyu Flat Iron,21.48,0.0,cancelled,stock_short,synthetic
2025-01-22,6X6 Frenched,24.04,24.54,completed,,synthetic
2025-01-22,Blade Eyes,335.79,336.17,completed,,synthetic
2025-01-22,Bone-in Ribeye,39.92,40.38,completed,,synthetic
2025-01-22,Brisket,41.96,21.6,partial,equipment,synthetic
2025-01-22,Chuck Flat,152.22,126.27,partial,labor_short,synthetic
2025-01-22,Chuck Primal,290.73,279.65,completed,,synthetic
2025-01-22,Flank,33.43,35.18,completed,,synthetic
2025-01-22,Plate,25.47,12.92,partial,labor_short,synthetic
2025-01-22,Pork Belly,198.13,205.67,completed,,synthetic
2025-01-22,Pork Loin,125.87,125.46,completed,,synthetic
2025-01-22,Pork Shoulder,49.53,48.59,completed,,synthetic
2025-01-22,Round,116.4,114.09,completed,,synthetic
2025-01-22,Shank,16.78,17.45,completed,,synthetic
2025-01-22,Striploin Whole,114.31,110.27,completed,,synthetic
2025-01-22,Tenderloin,9.26,9.51,completed,,synthetic
2025-01-22,Top Sirloin Butt,53.07,51.17,completed,,synthetic
2025-01-22,Wagyu Flat Iron,21.48,0.0,cancelled,stock_short,synthetic
2025-01-23,6X6 Frenched,24.04,23.58,completed,,synthetic
2025-01-23,Blade Eyes,335.79,226.78,partial,labor_short,synthetic
2025-01-23,Bone-in Ribeye,39.92,38.71,completed,,synthetic
2025-01-23,Brisket,41.96,42.93,completed,,synthetic
2025-01-23,Chuck Flat,152.22,160.33,completed,,synthetic
2025-01-23,Chuck Primal,290.73,296.09,completed,,synthetic
2025-01-23,Flank,33.43,34.82,completed,,synthetic
2025-01-23,Plate,25.47,20.62,partial,equipment,synthetic
2025-01-23,Pork Belly,198.13,199.6,completed,,synthetic
2025-01-23,Pork Loin,125.87,127.7,completed,,synthetic
2025-01-23,Pork Shoulder,49.53,49.67,completed,,synthetic
2025-01-23,Round,116.4,80.92,partial,quality_hold,synthetic
2025-01-23,Shank,16.78,16.77,completed,,synthetic
2025-01-23,Striploin Whole,114.31,112.89,completed,,synthetic
2025-01-23,Tenderloin,9.26,9.36,completed,,synthetic
2025-01-23,Top Sirloin Butt,53.07,50.61,completed,,synthetic
2025-01-23,Wagyu Flat Iron,21.48,0.0,cancelled,stock_short,synthetic
2025-01-24,6X6 Frenched,30.05,31.17,completed,,synthetic
2025-01-24,Blade Eyes,425.29,309.89,partial,equipment,synthetic
2025-01-24,Bone-in Ribeye,53.23,55.04,completed,,synthetic
2025-01-24,Brisket,57.69,56.43,completed,,synthetic
2025-01-24,Chuck Flat,179.4,179.0,completed,,synthetic
2025-01-24,Chuck Primal,358.57,360.58,completed,,synthetic
2025-01-24,Flank,44.58,41.78,completed,,synthetic
2025-01-24,Plate,35.66,35.68,completed,,synthetic
2025-01-24,Pork Belly,247.66,241.52,completed,,synthetic
2025-01-24,Pork Loin,157.34,151.6,completed,,synthetic
2025-01-24,Pork Shoulder,69.35,69.07,completed,,synthetic
2025-01-24,Round,137.45,130.72,completed,,synthetic
2025-01-24,Shank,24.13,25.28,completed,,synthetic
2025-01-24,Striploin Whole,142.88,142.43,completed,,synthetic
2025-01-24,Tenderloin,15.05,15.53,completed,,synthetic
2025-01-24,Top Sirloin Butt,74.3,72.99,completed,,synthetic
2025-01-24,Wagyu Flat Iron,30.08,0.0,cancelled,stock_short,synthetic
2025-01-25,6X6 Frenched,36.06,37.32,completed,,synthetic
2025-01-25,Blade Eyes,514.78,519.22,completed,,synthetic
2025-01-25,Bone-in Ribeye,66.54,69.63,completed,,synthetic
2025-01-25,Brisket,73.42,72.06,completed,,synthetic
2025-01-25,Chuck Flat,206.59,204.6,completed,,synthetic
2025-01-25,Chuck Primal,426.41,449.75,completed,,synthetic
2025-01-25,Flank,55.72,55.17,completed,,synthetic
2025-01-25,Plate,45.85,0.0,cancelled,stock_short,synthetic
2025-01-25,Pork Belly,297.19,0.0,cancelled,stock_short,synthetic
2025-01-25,Pork Loin,188.81,187.65,completed,,synthetic
2025-01-25,Pork Shoulder,89.16,88.64,completed,,synthetic
2025-01-25,Round,158.5,157.97,completed,,synthetic
2025-01-25,Shank,31.47,30.96,completed,,synthetic
2025-01-25,Striploin Whole,171.46,172.03,completed,,synthetic
2025-01-25,Tenderloin,20.84,19.87,completed,,synthetic
2025-01-25,Top Sirloin Butt,95.53,99.44,completed,,synthetic
2025-01-25,Wagyu Flat Iron,38.67,0.0,cancelled,stock_short,synthetic
2025-01-26,6X6 Frenched,30.05,31.37,completed,,synthetic
2025-01-26,Blade Eyes,425.29,434.44,completed,,synthetic
2025-01-26,Bone-in Ribeye,53.23,49.86,completed,,synthetic
2025-01-26,Brisket,57.69,57.92,completed,,synthetic
2025-01-26,Chuck Flat,179.4,179.5,completed,,synthetic
2025-01-26,Chuck Primal,358.57,0.0,cancelled,stock_short,synthetic
2025-01-26,Flank,44.58,42.36,completed,,synthetic
2025-01-26,Plate,35.66,0.0,cancelled,stock_short,synthetic
2025-01-26,Pork Belly,247.66,0.0,cancelled,stock_short,synthetic
2025-01-26,Pork Loin,157.34,153.57,completed,,synthetic
2025-01-26,Pork Shoulder,69.35,69.03,completed,,synthetic
2025-01-26,Round,137.45,143.46,completed,,synthetic
2025-01-26,Shank,24.13,24.02,completed,,synthetic
2025-01-26,Striploin Whole,142.88,137.5,completed,,synthetic
2025-01-26,Tenderloin,15.05,15.33,completed,,synthetic
2025-01-26,Top Sirloin Butt,74.3,41.57,partial,equipment,synthetic
2025-01-26,Wagyu Flat Iron,30.08,0.0,cancelled,stock_short,synthetic
2025-01-27,6X6 Frenched,24.04,24.49,completed,,synthetic
2025-01-27,Blade Eyes,335.79,343.75,completed,,synthetic
2025-01-27,Bone-in Ribeye,39.92,39.71,completed,,synthetic
2025-01-27,Brisket,41.96,42.42,completed,,synthetic
2025-01-27,Chuck Flat,152.22,141.7,completed,,synthetic
2025-01-27,Chuck Primal,290.73,0.0,cancelled,stock_short,synthetic
2025-01-27,Flank,33.43,33.03,completed,,synthetic
2025-01-27,Plate,25.47,25.39,completed,,synthetic
2025-01-27,Pork Belly,198.13,203.59,completed,,synthetic
2025-01-27,Pork Loin,125.87,133.19,completed,,synthetic
