po_id,source_primal,order_date,expected_arrival,quantity_kg,status,supplier,actual_arrival,received_kg,data_source
PO-20250423-00047,6X6 Frenched,2025-04-21,2025-04-23,2.5,delivered,Northlake Beef Co.,2025-04-23,2.5,synthetic
PO-20250424-00048,6X6 Frenched,2025-04-22,2025-04-24,2.5,delivered,Northlake Beef Co.,2025-04-24,2.5,synthetic
PO-20250429-00049,6X6 Frenched,2025-04-27,2025-04-29,118.95,short_shipped,Northlake Beef Co.,2025-04-29,85.0,synthetic
PO-20250430-00050,6X6 Frenched,2025-04-28,2025-04-30,10.0,delivered,Northlake Beef Co.,2025-04-30,10.0,synthetic
PO-20250501-00051,6X6 Frenched,2025-04-29,2025-05-01,7.5,delivered,Northlake Beef Co.,2025-05-01,7.5,synthetic
PO-20250502-00052,6X6 Frenched,2025-04-30,2025-05-02,2.5,delivered,Northlake Beef Co.,2025-05-02,2.5,synthetic
PO-20250505-00053,6X6 Frenched,2025-05-03,2025-05-05,37.5,delivered,Northlake Beef Co.,2025-05-05,37.5,synthetic
PO-20250510-00054,6X6 Frenched,2025-05-08,2025-05-10,70.0,delivered,Northlake Beef Co.,2025-05-10,70.0,synthetic
PO-20250512-00055,6X6 Frenched,2025-05-10,2025-05-12,42.5,delivered,Northlake Beef Co.,2025-05-12,42.5,synthetic
PO-20250513-00056,6X6 Frenched,2025-05-11,2025-05-13,25.0,delivered,Northlake Beef Co.,2025-05-13,25.0,synthetic
PO-20250515-00057,6X6 Frenched,2025-05-13,2025-05-15,12.5,delivered,Northlake Beef Co.,2025-05-15,12.5,synthetic
PO-20250517-00058,6X6 Frenched,2025-05-15,2025-05-17,12.5,delivered,Northlake Beef Co.,2025-05-17,12.5,synthetic
PO-20250520-00059,6X6 Frenched,2025-05-18,2025-05-20,52.5,delivered,Northlake Beef Co.,2025-05-20,52.5,synthetic
PO-20250522-00060,6X6 Frenched,2025-05-20,2025-05-22,7.5,delivered,Northlake Beef Co.,2025-05-22,7.5,synthetic
PO-20250526-00061,6X6 Frenched,2025-05-24,2025-05-26,52.5,delivered,Northlake Beef Co.,2025-05-26,52.5,synthetic
PO-20250528-00062,6X6 Frenched,2025-05-26,2025-05-28,10.0,delivered,Northlake Beef Co.,2025-05-28,10.0,synthetic
PO-20250529-00063,6X6 Frenched,2025-05-27,2025-05-29,5.0,delivered,Northlake Beef Co.,2025-05-29,5.0,synthetic
PO-20250531-00064,6X6 Frenched,2025-05-29,2025-05-31,12.5,delivered,Northlake Beef Co.,2025-05-31,12.5,synthetic
PO-20250602-00065,6X6 Frenched,2025-05-31,2025-06-02,25.0,delivered,Northlake Beef Co.,2025-06-02,25.0,synthetic
PO-20250603-00066,6X6 Frenched,2025-06-01,2025-06-03,17.5,delivered,Northlake Beef Co.,2025-06-03,17.5,synthetic
PO-20250605-00067,6X6 Frenched,2025-06-03,2025-06-05,10.0,delivered,Northlake Beef Co.,2025-06-05,10.0,synthetic
PO-20250607-00068,6X6 Frenched,2025-06-05,2025-06-07,10.0,delivered,Northlake Beef Co.,2025-06-07,10.0,synthetic
PO-20250609-00069,6X6 Frenched,2025-06-07,2025-06-09,32.5,delivered,Northlake Beef Co.,2025-06-09,32.5,synthetic
PO-20250610-00070,6X6 Frenched,2025-06-08,2025-06-10,15.0,delivered,Northlake Beef Co.,2025-06-10,15.0,synthetic
PO-20250614-00071,6X6 Frenched,2025-06-12,2025-06-14,85.0,delivered,Northlake Beef Co.,2025-06-14,85.0,synthetic
PO-20250616-00072,6X6 Frenched,2025-06-14,2025-06-16,62.5,delivered,Northlake Beef Co.,2025-06-16,62.5,synthetic
PO-20250618-00073,6X6 Frenched,2025-06-16,2025-06-18,20.16,short_shipped,Northlake Beef Co.,2025-06-18,17.5,synthetic
PO-20250623-00074,6X6 Frenched,2025-06-21,2025-06-23,52.5,delivered,Northlake Beef Co.,2025-06-23,52.5,synthetic
PO-20250624-00075,6X6 Frenched,2025-06-22,2025-06-24,17.5,delivered,Northlake Beef Co.,2025-06-24,17.5,synthetic
PO-20250626-00076,6X6 Frenched,2025-06-24,2025-06-26,10.0,delivered,Northlake Beef Co.,2025-06-26,10.0,synthetic
PO-20250628-00077,6X6 Frenched,2025-06-26,2025-06-28,15.0,delivered,Northlake Beef Co.,2025-06-28,15.0,synthetic
PO-20250630-00078,6X6 Frenched,2025-06-28,2025-06-30,20.0,delivered,Northlake Beef Co.,2025-06-30,20.0,synthetic
PO-20250702-00079,6X6 Frenched,2025-06-30,2025-07-02,12.5,delivered,Northlake Beef Co.,2025-07-02,12.5,synthetic
PO-20250703-00080,6X6 Frenched,2025-07-01,2025-07-03,20.0,delivered,Northlake Beef Co.,2025-07-03,20.0,synthetic
PO-20250708-00081,6X6 Frenched,2025-07-06,2025-07-08,110.0,delivered,Northlake Beef Co.,2025-07-08,110.0,synthetic
PO-20250709-00082,6X6 Frenched,2025-07-07,2025-07-09,5.0,delivered,Northlake Beef Co.,2025-07-09,5.0,synthetic
PO-20250710-00083,6X6 Frenched,2025-07-08,2025-07-10,10.0,delivered,Northlake Beef Co.,2025-07-10,10.0,synthetic
PO-20250711-00084,6X6 Frenched,2025-07-09,2025-07-11,2.5,delivered,Northlake Beef Co.,2025-07-11,2.5,synthetic
PO-20250714-00085,6X6 Frenched,2025-07-12,2025-07-14,57.5,delivered,Northlake Beef Co.,2025-07-14,57.5,synthetic
PO-20250715-00086,6X6 Frenched,2025-07-13,2025-07-15,10.0,delivered,Northlake Beef Co.,2025-07-15,10.0,synthetic
PO-20250717-00087,6X6 Frenched,2025-07-15,2025-07-17,5.0,delivered,Northlake Beef Co.,2025-07-17,5.0,synthetic
PO-20250721-00088,6X6 Frenched,2025-07-17,2025-07-19,60.0,delivered,Northlake Beef Co.,2025-07-21,60.0,synthetic
PO-20250722-00089,6X6 Frenched,2025-07-20,2025-07-22,10.0,delivered,Northlake Beef Co.,2025-07-22,10.0,synthetic
PO-20250724-00090,6X6 Frenched,2025-07-22,2025-07-24,7.5,delivered,Northlake Beef Co.,2025-07-24,7.5,synthetic
PO-20250728-00091,6X6 Frenched,2025-07-25,2025-07-27,52.5,delivered,Northlake Beef Co.,2025-07-28,52.5,synthetic
PO-20250730-00092,6X6 Frenched,2025-07-28,2025-07-30,2.5,delivered,Northlake Beef Co.,2025-07-30,2.5,synthetic
PO-20250731-00093,6X6 Frenched,2025-07-29,2025-07-31,7.5,delivered,Northlake Beef Co.,2025-07-31,7.5,synthetic
PO-20250804-00094,6X6 Frenched,2025-08-02,2025-08-04,62.5,delivered,Northlake Beef Co.,2025-08-04,62.5,synthetic
PO-20250805-00095,6X6 Frenched,2025-08-03,2025-08-05,10.0,delivered,Northlake Beef Co.,2025-08-05,10.0,synthetic
PO-20250807-00096,6X6 Frenched,2025-08-05,2025-08-07,10.0,delivered,Northlake Beef Co.,2025-08-07,10.0,synthetic
PO-20250809-00097,6X6 Frenched,2025-08-07,2025-08-09,7.5,delivered,Northlake Beef Co.,2025-08-09,7.5,synthetic
PO-20250811-00098,6X6 Frenched,2025-08-09,2025-08-11,51.01,short_shipped,Northlake Beef Co.,2025-08-11,40.0,synthetic
PO-20250812-00099,6X6 Frenched,2025-08-10,2025-08-12,2.5,delivered,Northlake Beef Co.,2025-08-12,2.5,synthetic
PO-20250813-00100,6X6 Frenched,2025-08-11,2025-08-13,5.0,delivered,Northlake Beef Co.,2025-08-13,5.0,synthetic
PO-20250815-00101,6X6 Frenched,2025-08-13,2025-08-15,7.5,delivered,Northlake Beef Co.,2025-08-15,7.5,synthetic
PO-20250818-00102,6X6 Frenched,2025-08-16,2025-08-18,47.5,delivered,Northlake Beef Co.,2025-08-18,47.5,synthetic
PO-20250820-00103,6X6 Frenched,2025-08-18,2025-08-20,10.0,delivered,Northlake Beef Co.,2025-08-20,10.0,synthetic
PO-20250823-00104,6X6 Frenched,2025-08-21,2025-08-23,12.5,delivered,Northlake Beef Co.,2025-08-23,12.5,synthetic
PO-20250825-00105,6X6 Frenched,2025-08-21,2025-08-23,27.5,delivered,Northlake Beef Co.,2025-08-25,27.5,synthetic
PO-20250830-00106,6X6 Frenched,2025-08-28,2025-08-30,122.5,delivered,Northlake Beef Co.,2025-08-30,122.5,synthetic
PO-20250902-00107,6X6 Frenched,2025-08-31,2025-09-02,70.0,delivered,Northlake Beef Co.,2025-09-02,70.0,synthetic
PO-20250903-00108,6X6 Frenched,2025-09-01,2025-09-03,5.0,delivered,Northlake Beef Co.,2025-09-03,5.0,synthetic
PO-20250904-00109,6X6 Frenched,2025-09-02,2025-09-04,7.5,delivered,Northlake Beef Co.,2025-09-04,7.5,synthetic
PO-20250908-00110,6X6 Frenched,2025-09-06,2025-09-08,35.0,delivered,Northlake Beef Co.,2025-09-08,35.0,synthetic
PO-20250909-00111,6X6 Frenched,2025-09-07,2025-09-09,5.0,delivered,Northlake Beef Co.,2025-09-09,5.0,synthetic
PO-20250910-00112,6X6 Frenched,2025-09-08,2025-09-10,7.5,delivered,Northlake Beef Co.,2025-09-10,7.5,synthetic
PO-20250911-00113,6X6 Frenched,2025-09-09,2025-09-11,2.5,delivered,Northlake Beef Co.,2025-09-11,2.5,synthetic
PO-20250915-00114,6X6 Frenched,2025-09-13,2025-09-15,38.43,short_shipped,Northlake Beef Co.,2025-09-15,35.0,synthetic
PO-20250916-00115,6X6 Frenched,2025-09-14,2025-09-16,17.5,delivered,Northlake Beef Co.,2025-09-16,17.5,synthetic
PO-20250919-00116,6X6 Frenched,2025-09-17,2025-09-19,7.5,delivered,Northlake Beef Co.,2025-09-19,7.5,synthetic
PO-20250922-00117,6X6 Frenched,2025-09-20,2025-09-22,45.0,delivered,Northlake Beef Co.,2025-09-22,45.0,synthetic
PO-20250925-00118,6X6 Frenched,2025-09-23,2025-09-25,17.5,delivered,Northlake Beef Co.,2025-09-25,17.5,synthetic
PO-20250929-00119,6X6 Frenched,2025-09-27,2025-09-29,35.0,delivered,Northlake Beef Co.,2025-09-29,35.0,synthetic
PO-20250930-00120,6X6 Frenched,2025-09-28,2025-09-30,12.5,delivered,Northlake Beef Co.,2025-09-30,12.5,synthetic
PO-20251002-00121,6X6 Frenched,2025-09-30,2025-10-02,2.5,delivered,Northlake Beef Co.,2025-10-02,2.5,synthetic
PO-20251004-00122,6X6 Frenched,2025-10-02,2025-10-04,2.5,delivered,Northlake Beef Co.,2025-10-04,2.5,synthetic
PO-20251006-00123,6X6 Frenched,2025-10-04,2025-10-06,35.95,short_shipped,Northlake Beef Co.,2025-10-06,27.5,synthetic
PO-20251007-00124,6X6 Frenched,2025-10-05,2025-10-07,25.0,delivered,Northlake Beef Co.,2025-10-07,25.0,synthetic
PO-20251010-00125,6X6 Frenched,2025-10-08,2025-10-10,2.5,delivered,Northlake Beef Co.,2025-10-10,2.5,synthetic
PO-20251015-00126,6X6 Frenched,2025-10-13,2025-10-15,110.0,delivered,Northlake Beef Co.,2025-10-15,110.0,synthetic
PO-20251016-00127,6X6 Frenched,2025-10-14,2025-10-16,17.5,delivered,Northlake Beef Co.,2025-10-16,17.5,synthetic
PO-20251018-00128,6X6 Frenched,2025-10-16,2025-10-18,5.0,delivered,Northlake Beef Co.,2025-10-18,5.0,synthetic
PO-20251020-00129,6X6 Frenched,2025-10-18,2025-10-20,47.5,delivered,Northlake Beef Co.,2025-10-20,47.5,synthetic
PO-20251024-00130,6X6 Frenched,2025-10-22,2025-10-24,17.5,delivered,Northlake Beef Co.,2025-10-24,17.5,synthetic
PO-20251027-00131,6X6 Frenched,2025-10-25,2025-10-27,32.5,delivered,Northlake Beef Co.,2025-10-27,32.5,synthetic
PO-20251028-00132,6X6 Frenched,2025-10-26,2025-10-28,10.0,delivered,Northlake Beef Co.,2025-10-28,10.0,synthetic
PO-20251103-00133,6X6 Frenched,2025-11-01,2025-11-03,52.72,short_shipped,Northlake Beef Co.,2025-11-03,40.0,synthetic
PO-20251104-00134,6X6 Frenched,2025-11-02,2025-11-04,10.0,delivered,Northlake Beef Co.,2025-11-04,10.0,synthetic
PO-20251106-00135,6X6 Frenched,2025-11-04,2025-11-06,17.5,delivered,Northlake Beef Co.,2025-11-06,17.5,synthetic
PO-20251108-00136,6X6 Frenched,2025-11-06,2025-11-08,5.0,delivered,Northlake Beef Co.,2025-11-08,5.0,synthetic
PO-20251110-00137,6X6 Frenched,2025-11-06,2025-11-08,30.0,delivered,Northlake Beef Co.,2025-11-10,30.0,synthetic
PO-20251111-00138,6X6 Frenched,2025-11-06,2025-11-08,10.0,delivered,Northlake Beef Co.,2025-11-11,10.0,synthetic
PO-20251113-00139,6X6 Frenched,2025-11-09,2025-11-11,2.5,delivered,Northlake Beef Co.,2025-11-13,2.5,synthetic
PO-20251115-00140,6X6 Frenched,2025-11-13,2025-11-15,2.5,delivered,Northlake Beef Co.,2025-11-15,2.5,synthetic
PO-20251117-00141,6X6 Frenched,2025-11-15,2025-11-17,35.0,delivered,Northlake Beef Co.,2025-11-17,35.0,synthetic
PO-20251118-00142,6X6 Frenched,2025-11-16,2025-11-18,2.5,delivered,Northlake Beef Co.,2025-11-18,2.5,synthetic
PO-20251119-00143,6X6 Frenched,2025-11-17,2025-11-19,10.45,short_shipped,Northlake Beef Co.,2025-11-19,7.5,synthetic
PO-20251122-00144,6X6 Frenched,2025-11-20,2025-11-22,7.5,delivered,Northlake Beef Co.,2025-11-22,7.5,synthetic
PO-20251124-00145,6X6 Frenched,2025-11-22,2025-11-24,20.0,delivered,Northlake Beef Co.,2025-11-24,20.0,synthetic
PO-20251125-00146,6X6 Frenched,2025-11-23,2025-11-25,10.0,delivered,Northlake Beef Co.,2025-11-25,10.0,synthetic
PO-20251126-00147,6X6 Frenched,2025-11-24,2025-11-26,12.5,delivered,Northlake Beef Co.,2025-11-26,12.5,synthetic
PO-20251128-00148,6X6 Frenched,2025-11-26,2025-11-28,15.0,delivered,Northlake Beef Co.,2025-11-28,15.0,synthetic
PO-20251201-00149,6X6 Frenched,2025-11-29,2025-12-01,45.0,delivered,Northlake Beef Co.,2025-12-01,45.0,synthetic
PO-20251204-00150,6X6 Frenched,2025-12-02,2025-12-04,15.0,delivered,Northlake Beef Co.,2025-12-04,15.0,synthetic
PO-20251206-00151,6X6 Frenched,2025-12-04,2025-12-06,10.0,delivered,Northlake Beef Co.,2025-12-06,10.0,synthetic
PO-20251208-00152,6X6 Frenched,2025-12-04,2025-12-06,40.0,delivered,Northlake Beef Co.,2025-12-08,40.0,synthetic
PO-20251213-00153,6X6 Frenched,2025-12-11,2025-12-13,5.0,delivered,Northlake Beef Co.,2025-12-13,5.0,synthetic
PO-20251215-00154,6X6 Frenched,2025-12-13,2025-12-15,43.44,short_shipped,Northlake Beef Co.,2025-12-15,40.0,synthetic
PO-20251217-00155,6X6 Frenched,2025-12-15,2025-12-17,10.0,delivered,Northlake Beef Co.,2025-12-17,10.0,synthetic
PO-20251218-00156,6X6 Frenched,2025-12-16,2025-12-18,5.0,delivered,Northlake Beef Co.,2025-12-18,5.0,synthetic
PO-20251222-00157,6X6 Frenched,2025-12-20,2025-12-22,52.5,delivered,Northlake Beef Co.,2025-12-22,52.5,synthetic
PO-20251223-00158,6X6 Frenched,2025-12-21,2025-12-23,22.5,delivered,Northlake Beef Co.,2025-12-23,22.5,synthetic
PO-20251229-00159,6X6 Frenched,2025-12-27,2025-12-29,57.5,delivered,Northlake Beef Co.,2025-12-29,57.5,synthetic
PO-20251230-00160,6X6 Frenched,2025-12-28,2025-12-30,17.5,delivered,Northlake Beef Co.,2025-12-30,17.5,synthetic
PO-20250104-00161,Blade Eyes,2025-01-02,2025-01-04,6.0,delivered,Northlake Beef Co.,2025-01-04,6.0,synthetic
PO-20250106-00162,Blade Eyes,2025-01-04,2025-01-06,375.0,delivered,Northlake Beef Co.,2025-01-06,375.0,synthetic
PO-20250107-00163,Blade Eyes,2025-01-05,2025-01-07,72.0,delivered,Northlake Beef Co.,2025-01-07,72.0,synthetic
PO-20250108-00164,Blade Eyes,2025-01-06,2025-01-08,15.0,delivered,Northlake Beef Co.,2025-01-08,15.0,synthetic
PO-20250109-00165,Blade Eyes,2025-01-07,2025-01-09,6.0,delivered,Northlake Beef Co.,2025-01-09,6.0,synthetic
PO-20250110-00166,Blade Eyes,2025-01-08,2025-01-10,21.0,delivered,Northlake Beef Co.,2025-01-10,21.0,synthetic
PO-20250113-00167,Blade Eyes,2025-01-11,2025-01-13,537.0,delivered,Northlake Beef Co.,2025-01-13,537.0,synthetic
PO-20250117-00168,Blade Eyes,2025-01-15,2025-01-17,733.95,short_shipped,Northlake Beef Co.,2025-01-17,603.0,synthetic
PO-20250120-00169,Blade Eyes,2025-01-18,2025-01-20,630.0,delivered,Northlake Beef Co.,2025-01-20,630.0,synthetic
PO-20250122-00170,Blade Eyes,2025-01-20,2025-01-22,12.0,delivered,Northlake Beef Co.,2025-01-22,12.0,synthetic
PO-20250125-00171,Blade Eyes,2025-01-20,2025-01-22,75.0,delivered,Northlake Beef Co.,2025-01-25,75.0,synthetic
PO-20250127-00172,Blade Eyes,2025-01-25,2025-01-27,465.0,delivered,Northlake Beef Co.,2025-01-27,465.0,synthetic
PO-20250128-00173,Blade Eyes,2025-01-26,2025-01-28,39.0,delivered,Northlake Beef Co.,2025-01-28,39.0,synthetic
PO-20250201-00174,Blade Eyes,2025-01-30,2025-02-01,6.0,delivered,Northlake Beef Co.,2025-02-01,6.0,synthetic
PO-20250203-00175,Blade Eyes,2025-02-01,2025-02-03,438.0,delivered,Northlake Beef Co.,2025-02-03,438.0,synthetic
PO-20250204-00176,Blade Eyes,2025-02-02,2025-02-04,78.0,delivered,Northlake Beef Co.,2025-02-04,78.0,synthetic
PO-20250205-00177,Blade Eyes,2025-02-03,2025-02-05,72.0,delivered,Northlake Beef Co.,2025-02-05,72.0,synthetic
PO-20250208-00178,Blade Eyes,2025-02-06,2025-02-08,51.0,delivered,Northlake Beef Co.,2025-02-08,51.0,synthetic
PO-20250210-00179,Blade Eyes,2025-02-08,2025-02-10,549.66,short_shipped,Northlake Beef Co.,2025-02-10,507.0,synthetic
PO-20250212-00180,Blade Eyes,2025-02-10,2025-02-12,117.0,delivered,Northlake Beef Co.,2025-02-12,117.0,synthetic
PO-20250214-00181,Blade Eyes,2025-02-12,2025-02-14,27.0,delivered,Northlake Beef Co.,2025-02-14,27.0,synthetic
PO-20250218-00182,Blade Eyes,2025-02-16,2025-02-18,561.0,delivered,Northlake Beef Co.,2025-02-18,561.0,synthetic
PO-20250219-00183,Blade Eyes,2025-02-17,2025-02-19,135.0,delivered,Northlake Beef Co.,2025-02-19,135.0,synthetic
PO-20250221-00184,Blade Eyes,2025-02-19,2025-02-21,57.0,delivered,Northlake Beef Co.,2025-02-21,57.0,synthetic
PO-20250226-00185,Blade Eyes,2025-02-24,2025-02-26,522.0,delivered,Northlake Beef Co.,2025-02-26,522.0,synthetic
PO-20250227-00186,Blade Eyes,2025-02-25,2025-02-27,75.0,delivered,Northlake Beef Co.,2025-02-27,75.0,synthetic
PO-20250228-00187,Blade Eyes,2025-02-26,2025-02-28,51.0,delivered,Northlake Beef Co.,2025-02-28,51.0,synthetic
PO-20250303-00188,Blade Eyes,2025-02-26,2025-02-28,483.0,delivered,Northlake Beef Co.,2025-03-03,483.0,synthetic
PO-20250304-00189,Blade Eyes,2025-03-02,2025-03-04,54.0,delivered,Northlake Beef Co.,2025-03-04,54.0,synthetic
PO-20250306-00190,Blade Eyes,2025-03-03,2025-03-05,69.0,delivered,Northlake Beef Co.,2025-03-06,69.0,synthetic
PO-20250310-00191,Blade Eyes,2025-03-07,2025-03-09,432.0,delivered,Northlake Beef Co.,2025-03-10,432.0,synthetic
PO-20250311-00192,Blade Eyes,2025-03-06,2025-03-08,96.0,delivered,Northlake Beef Co.,2025-03-11,96.0,synthetic
PO-20250313-00193,Blade Eyes,2025-03-11,2025-03-13,114.0,delivered,Northlake Beef Co.,2025-03-13,114.0,synthetic
PO-20250315-00194,Blade Eyes,2025-03-13,2025-03-15,66.0,delivered,Northlake Beef Co.,2025-03-15,66.0,synthetic
PO-20250317-00195,Blade Eyes,2025-03-15,2025-03-17,366.0,delivered,Northlake Beef Co.,2025-03-17,366.0,synthetic
PO-20250318-00196,Blade Eyes,2025-03-16,2025-03-18,90.0,delivered,Northlake Beef Co.,2025-03-18,90.0,synthetic
PO-20250319-00197,Blade Eyes,2025-03-17,2025-03-19,9.0,delivered,Northlake Beef Co.,2025-03-19,9.0,synthetic
PO-20250320-00198,Blade Eyes,2025-03-18,2025-03-20,84.0,delivered,Northlake Beef Co.,2025-03-20,84.0,synthetic
PO-20250324-00199,Blade Eyes,2025-03-22,2025-03-24,579.0,delivered,Northlake Beef Co.,2025-03-24,579.0,synthetic
PO-20250327-00200,Blade Eyes,2025-03-25,2025-03-27,6.0,delivered,Northlake Beef Co.,2025-03-27,6.0,synthetic
PO-20250328-00201,Blade Eyes,2025-03-26,2025-03-28,3.0,delivered,Northlake Beef Co.,2025-03-28,3.0,synthetic
PO-20250331-00202,Blade Eyes,2025-03-29,2025-03-31,567.0,delivered,Northlake Beef Co.,2025-03-31,567.0,synthetic
PO-20250401-00203,Blade Eyes,2025-03-30,2025-04-01,36.0,delivered,Northlake Beef Co.,2025-04-01,36.0,synthetic
