source_primal,as_of,boxes_on_hand,velocity_tier
Chuck Primal,2025-01-07,20.1,best
Blade Eyes,2025-01-07,20.2,best
Tenderloin,2025-01-08,1.7,low
Shank,2025-01-08,5.7,low
Wagyu Flat Iron,2025-01-08,4.9,low
6X6 Frenched,2025-01-08,2.9,low
Plate,2025-01-08,4.9,low
Flank,2025-01-08,4.9,low
Bone-in Ribeye,2025-01-08,10.2,medium
Brisket,2025-01-08,10.5,medium
Pork Shoulder,2025-01-08,11.0,medium
Top Sirloin Butt,2025-01-08,9.2,medium
Round,2025-01-08,7.7,medium
Striploin Whole,2025-01-08,9.1,medium
Pork Loin,2025-01-08,21.1,best
Chuck Flat,2025-01-08,14.1,best
Pork Belly,2025-01-08,20.2,best
Chuck Primal,2025-01-08,22.4,best
Blade Eyes,2025-01-08,20.7,best
Tenderloin,2025-01-09,1.4,low
Shank,2025-01-09,5.4,low
Wagyu Flat Iron,2025-01-09,5.1,low
6X6 Frenched,2025-01-09,2.0,low
Plate,2025-01-09,5.3,low
Flank,2025-01-09,5.1,low
Bone-in Ribeye,2025-01-09,9.1,medium
Brisket,2025-01-09,11.0,medium
Pork Shoulder,2025-01-09,9.3,medium
Top Sirloin Butt,2025-01-09,10.8,medium
Round,2025-01-09,7.3,medium
Striploin Whole,2025-01-09,9.8,medium
Pork Loin,2025-01-09,21.9,best
Chuck Flat,2025-01-09,9.8,best
Pork Belly,2025-01-09,19.2,best
Chuck Primal,2025-01-09,23.8,best
Blade Eyes,2025-01-09,20.9,best
Tenderloin,2025-01-10,1.7,low
Shank,2025-01-10,4.5,low
Wagyu Flat Iron,2025-01-10,5.0,low
6X6 Frenched,2025-01-10,1.0,low
Plate,2025-01-10,5.4,low
Flank,2025-01-10,5.1,low
Bone-in Ribeye,2025-01-10,8.9,medium
Brisket,2025-01-10,9.9,medium
Pork Shoulder,2025-01-10,10.8,medium
Top Sirloin Butt,2025-01-10,10.4,medium
Round,2025-01-10,8.2,medium
Striploin Whole,2025-01-10,8.4,medium
Pork Loin,2025-01-10,22.8,best
Chuck Flat,2025-01-10,18.6,best
Pork Belly,2025-01-10,20.1,best
Chuck Primal,2025-01-10,22.6,best
Blade Eyes,2025-01-10,21.6,best
Tenderloin,2025-01-11,1.7,low
Shank,2025-01-11,3.3,low
Wagyu Flat Iron,2025-01-11,5.7,low
6X6 Frenched,2025-01-11,5.2,low
Plate,2025-01-11,5.2,low
Flank,2025-01-11,5.3,low
Bone-in Ribeye,2025-01-11,10.1,medium
Brisket,2025-01-11,10.0,medium
Pork Shoulder,2025-01-11,8.5,medium
Top Sirloin Butt,2025-01-11,10.7,medium
Round,2025-01-11,7.9,medium
Striploin Whole,2025-01-11,9.5,medium
Pork Loin,2025-01-11,21.8,best
Chuck Flat,2025-01-11,20.0,best
Pork Belly,2025-01-11,22.8,best
Chuck Primal,2025-01-11,22.6,best
Blade Eyes,2025-01-11,20.0,best
Tenderloin,2025-01-12,1.2,low
Shank,2025-01-12,1.7,low
Wagyu Flat Iron,2025-01-12,2.7,low
6X6 Frenched,2025-01-12,3.8,low
Plate,2025-01-12,2.1,low
Flank,2025-01-12,2.6,low
Bone-in Ribeye,2025-01-12,7.9,medium
Brisket,2025-01-12,8.2,medium
Pork Shoulder,2025-01-12,5.5,medium
Top Sirloin Butt,2025-01-12,8.0,medium
Round,2025-01-12,2.6,medium
Striploin Whole,2025-01-12,4.6,medium
Pork Loin,2025-01-12,13.2,best
Chuck Flat,2025-01-12,14.1,best
Pork Belly,2025-01-12,10.9,best
Chuck Primal,2025-01-12,10.4,best
Blade Eyes,2025-01-12,2.9,best
Tenderloin,2025-01-13,1.4,low
Shank,2025-01-13,0.5,low
Wagyu Flat Iron,2025-01-13,5.0,low
6X6 Frenched,2025-01-13,2.6,low
Plate,2025-01-13,4.8,low
Flank,2025-01-13,5.5,low
Bone-in Ribeye,2025-01-13,7.8,medium
Brisket,2025-01-13,8.9,medium
Pork Shoulder,2025-01-13,9.7,medium
Top Sirloin Butt,2025-01-13,9.9,medium
Round,2025-01-13,7.0,medium
Striploin Whole,2025-01-13,9.0,medium
Pork Loin,2025-01-13,23.5,best
Chuck Flat,2025-01-13,19.0,best
Pork Belly,2025-01-13,19.0,best
Chuck Primal,2025-01-13,21.1,best
Blade Eyes,2025-01-13,20.8,best
Tenderloin,2025-01-14,1.5,low
Shank,2025-01-14,5.7,low
Wagyu Flat Iron,2025-01-14,5.0,low
6X6 Frenched,2025-01-14,1.6,low
Plate,2025-01-14,4.9,low
Flank,2025-01-14,5.8,low
Bone-in Ribeye,2025-01-14,9.9,medium
Brisket,2025-01-14,10.8,medium
Pork Shoulder,2025-01-14,10.7,medium
Top Sirloin Butt,2025-01-14,9.7,medium
Round,2025-01-14,8.5,medium
Striploin Whole,2025-01-14,7.9,medium
Pork Loin,2025-01-14,20.1,best
Chuck Flat,2025-01-14,23.3,best
Pork Belly,2025-01-14,21.0,best
Chuck Primal,2025-01-14,19.6,best
Blade Eyes,2025-01-14,9.6,best
Tenderloin,2025-01-15,1.5,low
Shank,2025-01-15,5.4,low
Wagyu Flat Iron,2025-01-15,5.1,low
6X6 Frenched,2025-01-15,0.6,low
Plate,2025-01-15,5.0,low
Flank,2025-01-15,5.4,low
Bone-in Ribeye,2025-01-15,10.6,medium
Brisket,2025-01-15,9.7,medium
Pork Shoulder,2025-01-15,10.7,medium
Top Sirloin Butt,2025-01-15,11.8,medium
Round,2025-01-15,8.0,medium
Striploin Whole,2025-01-15,8.1,medium
Pork Loin,2025-01-15,20.7,best
Chuck Flat,2025-01-15,21.4,best
Pork Belly,2025-01-15,21.3,best
Chuck Primal,2025-01-15,19.7,best
Blade Eyes,2025-01-15,0.0,best
Tenderloin,2025-01-16,1.4,low
Shank,2025-01-16,5.7,low
Wagyu Flat Iron,2025-01-16,5.5,low
6X6 Frenched,2025-01-16,4.6,low
Plate,2025-01-16,5.4,low
Flank,2025-01-16,5.7,low
Bone-in Ribeye,2025-01-16,11.3,medium
Brisket,2025-01-16,9.4,medium
Pork Shoulder,2025-01-16,10.3,medium
Top Sirloin Butt,2025-01-16,10.7,medium
Round,2025-01-16,10.3,medium
Striploin Whole,2025-01-16,9.0,medium
Pork Loin,2025-01-16,24.3,best
Chuck Flat,2025-01-16,19.8,best
Pork Belly,2025-01-16,23.1,best
Chuck Primal,2025-01-16,20.3,best
Blade Eyes,2025-01-16,0.0,best
Tenderloin,2025-01-17,1.8,low
Shank,2025-01-17,5.6,low
Wagyu Flat Iron,2025-01-17,5.4,low
6X6 Frenched,2025-01-17,5.0,low
Plate,2025-01-17,5.1,low
Flank,2025-01-17,5.4,low
Bone-in Ribeye,2025-01-17,10.0,medium
Brisket,2025-01-17,10.6,medium
Pork Shoulder,2025-01-17,8.9,medium
Top Sirloin Butt,2025-01-17,9.7,medium
Round,2025-01-17,10.5,medium
Striploin Whole,2025-01-17,9.1,medium
Pork Loin,2025-01-17,23.9,best
Chuck Flat,2025-01-17,23.0,best
Pork Belly,2025-01-17,22.8,best
Chuck Primal,2025-01-17,22.6,best
Blade Eyes,2025-01-17,20.1,best
Tenderloin,2025-01-18,1.4,low
Shank,2025-01-18,5.8,low
Wagyu Flat Iron,2025-01-18,3.1,low
6X6 Frenched,2025-01-18,5.1,low
Plate,2025-01-18,5.1,low
Flank,2025-01-18,4.9,low
Bone-in Ribeye,2025-01-18,8.3,medium
Brisket,2025-01-18,10.8,medium
Pork Shoulder,2025-01-18,9.4,medium
Top Sirloin Butt,2025-01-18,8.8,medium
Round,2025-01-18,10.1,medium
Striploin Whole,2025-01-18,10.8,medium
Pork Loin,2025-01-18,19.5,best
Chuck Flat,2025-01-18,23.5,best
Pork Belly,2025-01-18,20.3,best
Chuck Primal,2025-01-18,22.8,best
Blade Eyes,2025-01-18,20.1,best
Tenderloin,2025-01-19,0.9,low
Shank,2025-01-19,4.2,low
Wagyu Flat Iron,2025-01-19,0.1,low
6X6 Frenched,2025-01-19,3.6,low
Plate,2025-01-19,2.0,low
Flank,2025-01-19,2.2,low
Bone-in Ribeye,2025-01-19,6.0,medium
Brisket,2025-01-19,9.0,medium
Pork Shoulder,2025-01-19,6.4,medium
Top Sirloin Butt,2025-01-19,6.0,medium
Round,2025-01-19,4.8,medium
Striploin Whole,2025-01-19,5.9,medium
Pork Loin,2025-01-19,10.9,best
Chuck Flat,2025-01-19,17.6,best
Pork Belly,2025-01-19,8.4,best
Chuck Primal,2025-01-19,10.6,best
Blade Eyes,2025-01-19,3.0,best
Tenderloin,2025-01-20,1.5,low
Shank,2025-01-20,4.9,low
Wagyu Flat Iron,2025-01-20,0.0,low
6X6 Frenched,2025-01-20,4.6,low
Plate,2025-01-20,5.2,low
Flank,2025-01-20,4.8,low
Bone-in Ribeye,2025-01-20,10.6,medium
Brisket,2025-01-20,10.3,medium
Pork Shoulder,2025-01-20,7.9,medium
Top Sirloin Butt,2025-01-20,9.8,medium
Round,2025-01-20,11.8,medium
Striploin Whole,2025-01-20,10.7,medium
Pork Loin,2025-01-20,19.9,best
Chuck Flat,2025-01-20,19.8,best
Pork Belly,2025-01-20,18.1,best
Chuck Primal,2025-01-20,23.3,best
Blade Eyes,2025-01-20,24.0,best
Tenderloin,2025-01-21,1.3,low
Shank,2025-01-21,5.1,low
Wagyu Flat Iron,2025-01-21,0.0,low
6X6 Frenched,2025-01-21,5.6,low
Plate,2025-01-21,5.6,low
Flank,2025-01-21,5.1,low
Bone-in Ribeye,2025-01-21,9.3,medium
Brisket,2025-01-21,9.5,medium
Pork Shoulder,2025-01-21,10.8,medium
Top Sirloin Butt,2025-01-21,9.2,medium
Round,2025-01-21,8.6,medium
Striploin Whole,2025-01-21,8.6,medium
Pork Loin,2025-01-21,21.8,best
Chuck Flat,2025-01-21,20.1,best
Pork Belly,2025-01-21,22.5,best
Chuck Primal,2025-01-21,21.4,best
Blade Eyes,2025-01-21,22.2,best
Tenderloin,2025-01-22,1.9,low
Shank,2025-01-22,5.2,low
Wagyu Flat Iron,2025-01-22,0.0,low
6X6 Frenched,2025-01-22,5.8,low
Plate,2025-01-22,5.1,low
Flank,2025-01-22,5.0,low
Bone-in Ribeye,2025-01-22,10.6,medium
Brisket,2025-01-22,9.2,medium
Pork Shoulder,2025-01-22,10.9,medium
Top Sirloin Butt,2025-01-22,9.6,medium
Round,2025-01-22,11.6,medium
Striploin Whole,2025-01-22,9.8,medium
Pork Loin,2025-01-22,23.2,best
Chuck Flat,2025-01-22,23.1,best
Pork Belly,2025-01-22,22.4,best
Chuck Primal,2025-01-22,21.9,best
Blade Eyes,2025-01-22,22.6,best
Tenderloin,2025-01-23,1.7,low
Shank,2025-01-23,5.3,low
Wagyu Flat Iron,2025-01-23,0.0,low
6X6 Frenched,2025-01-23,5.3,low
Plate,2025-01-23,3.4,low
Flank,2025-01-23,5.0,low
Bone-in Ribeye,2025-01-23,9.3,medium
Brisket,2025-01-23,11.0,medium
Pork Shoulder,2025-01-23,10.4,medium
Top Sirloin Butt,2025-01-23,9.2,medium
Round,2025-01-23,9.6,medium
Striploin Whole,2025-01-23,10.1,medium
Pork Loin,2025-01-23,21.0,best
Chuck Flat,2025-01-23,22.0,best
Pork Belly,2025-01-23,14.5,best
Chuck Primal,2025-01-23,22.7,best
Blade Eyes,2025-01-23,22.2,best
Tenderloin,2025-01-24,1.4,low
Shank,2025-01-24,5.7,low
Wagyu Flat Iron,2025-01-24,0.0,low
6X6 Frenched,2025-01-24,5.4,low
Plate,2025-01-24,1.7,low
Flank,2025-01-24,5.7,low
Bone-in Ribeye,2025-01-24,9.9,medium
Brisket,2025-01-24,10.4,medium
Pork Shoulder,2025-01-24,8.8,medium
Top Sirloin Butt,2025-01-24,10.6,medium
Round,2025-01-24,10.6,medium
Striploin Whole,2025-01-24,11.2,medium
Pork Loin,2025-01-24,20.3,best
Chuck Flat,2025-01-24,22.8,best
Pork Belly,2025-01-24,6.5,best
Chuck Primal,2025-01-24,14.4,best
Blade Eyes,2025-01-24,20.2,best
Tenderloin,2025-01-25,1.7,low
Shank,2025-01-25,4.5,low
Wagyu Flat Iron,2025-01-25,0.0,low
6X6 Frenched,2025-01-25,5.4,low
Plate,2025-01-25,0.0,low
Flank,2025-01-25,5.6,low
Bone-in Ribeye,2025-01-25,11.2,medium
Brisket,2025-01-25,8.9,medium
Pork Shoulder,2025-01-25,9.8,medium
Top Sirloin Butt,2025-01-25,11.3,medium
Round,2025-01-25,10.7,medium
Striploin Whole,2025-01-25,7.9,medium
Pork Loin,2025-01-25,21.6,best
Chuck Flat,2025-01-25,23.5,best
Pork Belly,2025-01-25,0.0,best
Chuck Primal,2025-01-25,4.1,best
Blade Eyes,2025-01-25,22.7,best
Tenderloin,2025-01-26,1.1,low
Shank,2025-01-26,3.0,low
Wagyu Flat Iron,2025-01-26,0.0,low
6X6 Frenched,2025-01-26,3.9,low
Plate,2025-01-26,0.0,low
Flank,2025-01-26,2.9,low
Bone-in Ribeye,2025-01-26,8.9,medium
Brisket,2025-01-26,7.1,medium
Pork Shoulder,2025-01-26,6.9,medium
Top Sirloin Butt,2025-01-26,8.5,medium
Round,2025-01-26,5.5,medium
Striploin Whole,2025-01-26,3.0,medium
Pork Loin,2025-01-26,13.0,best
Chuck Flat,2025-01-26,17.6,best
Pork Belly,2025-01-26,0.0,best
Chuck Primal,2025-01-26,0.0,best
Blade Eyes,2025-01-26,5.5,best
Tenderloin,2025-01-27,0.8,low
Shank,2025-01-27,1.8,low
Wagyu Flat Iron,2025-01-27,5.7,low
6X6 Frenched,2025-01-27,5.2,low
Plate,2025-01-27,5.1,low
Flank,2025-01-27,0.6,low
Bone-in Ribeye,2025-01-27,11.0,medium
Brisket,2025-01-27,5.7,medium
Pork Shoulder,2025-01-27,4.6,medium
Top Sirloin Butt,2025-01-27,9.7,medium
Round,2025-01-27,0.9,medium
Striploin Whole,2025-01-27,8.6,medium
Pork Loin,2025-01-27,23.0,best
Chuck Flat,2025-01-27,19.7,best
Pork Belly,2025-01-27,19.0,best
Chuck Primal,2025-01-27,0.0,best
Blade Eyes,2025-01-27,21.0,best
Tenderloin,2025-01-28,0.5,low
Shank,2025-01-28,0.9,low
Wagyu Flat Iron,2025-01-28,5.4,low
6X6 Frenched,2025-01-28,5.2,low
Plate,2025-01-28,5.4,low
Flank,2025-01-28,0.0,low
Bone-in Ribeye,2025-01-28,11.1,medium
Brisket,2025-01-28,7.9,medium
Pork Shoulder,2025-01-28,2.9,medium
Top Sirloin Butt,2025-01-28,9.7,medium
Round,2025-01-28,0.0,medium
Striploin Whole,2025-01-28,9.6,medium
Pork Loin,2025-01-28,23.8,best
Chuck Flat,2025-01-28,23.5,best
Pork Belly,2025-01-28,18.9,best
Chuck Primal,2025-01-28,21.6,best
Blade Eyes,2025-01-28,22.3,best
Tenderloin,2025-01-29,0.3,low
Shank,2025-01-29,4.9,low
Wagyu Flat Iron,2025-01-29,4.8,low
6X6 Frenched,2025-01-29,5.9,low
Plate,2025-01-29,5.5,low
Flank,2025-01-29,0.0,low
Bone-in Ribeye,2025-01-29,9.7,medium
Brisket,2025-01-29,11.5,medium
Pork Shoulder,2025-01-29,1.3,medium
Top Sirloin Butt,2025-01-29,10.7,medium
Round,2025-01-29,0.0,medium
Striploin Whole,2025-01-29,9.2,medium
Pork Loin,2025-01-29,21.8,best
Chuck Flat,2025-01-29,20.7,best
Pork Belly,2025-01-29,22.1,best
Chuck Primal,2025-01-29,20.0,best
Blade Eyes,2025-01-29,21.9,best
Tenderloin,2025-01-30,1.8,low
Shank,2025-01-30,5.5,low
Wagyu Flat Iron,2025-01-30,5.6,low
6X6 Frenched,2025-01-30,5.1,low
Plate,2025-01-30,5.7,low
Flank,2025-01-30,0.0,low
Bone-in Ribeye,2025-01-30,8.4,medium
Brisket,2025-01-30,10.4,medium
Pork Shoulder,2025-01-30,0.0,medium
Top Sirloin Butt,2025-01-30,9.7,medium
Round,2025-01-30,0.0,medium
Striploin Whole,2025-01-30,10.2,medium
Pork Loin,2025-01-30,19.8,best
Chuck Flat,2025-01-30,22.8,best
Pork Belly,2025-01-30,22.5,best
Chuck Primal,2025-01-30,20.9,best
Blade Eyes,2025-01-30,21.7,best
Tenderloin,2025-01-31,1.6,low
Shank,2025-01-31,5.9,low
Wagyu Flat Iron,2025-01-31,5.3,low
6X6 Frenched,2025-01-31,5.7,low
Plate,2025-01-31,5.5,low
Flank,2025-01-31,4.7,low
Bone-in Ribeye,2025-01-31,7.1,medium
Brisket,2025-01-31,9.7,medium
Pork Shoulder,2025-01-31,8.4,medium
Top Sirloin Butt,2025-01-31,10.5,medium
Round,2025-01-31,11.1,medium
Striploin Whole,2025-01-31,11.4,medium
Pork Loin,2025-01-31,20.3,best
Chuck Flat,2025-01-31,22.5,best
Pork Belly,2025-01-31,21.8,best
Chuck Primal,2025-01-31,19.9,best
Blade Eyes,2025-01-31,19.3,best
Tenderloin,2025-02-01,1.2,low
Shank,2025-02-01,6.0,low
Wagyu Flat Iron,2025-02-01,4.7,low
6X6 Frenched,2025-02-01,5.8,low
Plate,2025-02-01,5.4,low
Flank,2025-02-01,5.1,low
Bone-in Ribeye,2025-02-01,5.3,medium
Brisket,2025-02-01,9.9,medium
Pork Shoulder,2025-02-01,9.8,medium
Top Sirloin Butt,2025-02-01,10.3,medium
Round,2025-02-01,11.4,medium
Striploin Whole,2025-02-01,8.5,medium
Pork Loin,2025-02-01,20.1,best
Chuck Flat,2025-02-01,20.7,best
Pork Belly,2025-02-01,20.2,best
Chuck Primal,2025-02-01,22.1,best
Blade Eyes,2025-02-01,19.5,best
Tenderloin,2025-02-02,0.7,low
Shank,2025-02-02,4.4,low
Wagyu Flat Iron,2025-02-02,1.7,low
6X6 Frenched,2025-02-02,4.3,low
Plate,2025-02-02,2.4,low
Flank,2025-02-02,2.3,low
Bone-in Ribeye,2025-02-02,3.1,medium
Brisket,2025-02-02,8.0,medium
Pork Shoulder,2025-02-02,6.8,medium
Top Sirloin Butt,2025-02-02,7.5,medium
Round,2025-02-02,6.1,medium
Striploin Whole,2025-02-02,3.6,medium
Pork Loin,2025-02-02,11.5,best
Chuck Flat,2025-02-02,14.8,best
Pork Belly,2025-02-02,8.3,best
Chuck Primal,2025-02-02,9.9,best
Blade Eyes,2025-02-02,2.4,best
Tenderloin,2025-02-03,0.3,low
Shank,2025-02-03,5.5,low
Wagyu Flat Iron,2025-02-03,4.7,low
6X6 Frenched,2025-02-03,5.4,low
Plate,2025-02-03,5.0,low
Flank,2025-02-03,5.7,low
Bone-in Ribeye,2025-02-03,7.8,medium
Brisket,2025-02-03,10.5,medium
Pork Shoulder,2025-02-03,11.2,medium
Top Sirloin Butt,2025-02-03,10.5,medium
Round,2025-02-03,1.5,medium
Striploin Whole,2025-02-03,8.9,medium
Pork Loin,2025-02-03,23.7,best
Chuck Flat,2025-02-03,23.6,best
Pork Belly,2025-02-03,18.6,best
Chuck Primal,2025-02-03,21.5,best
Blade Eyes,2025-02-03,17.0,best
Tenderloin,2025-02-04,1.0,low
Shank,2025-02-04,5.6,low
Wagyu Flat Iron,2025-02-04,5.2,low
6X6 Frenched,2025-02-04,5.1,low
Plate,2025-02-04,4.9,low
Flank,2025-02-04,5.3,low
Bone-in Ribeye,2025-02-04,8.2,medium
Brisket,2025-02-04,10.6,medium
Pork Shoulder,2025-02-04,9.6,medium
Top Sirloin Butt,2025-02-04,10.6,medium
Round,2025-02-04,0.0,medium
Striploin Whole,2025-02-04,10.1,medium
Pork Loin,2025-02-04,22.4,best
Chuck Flat,2025-02-04,24.1,best
Pork Belly,2025-02-04,21.2,best
Chuck Primal,2025-02-04,21.2,best
Blade Eyes,2025-02-04,19.6,best
Tenderloin,2025-02-05,1.7,low
Shank,2025-02-05,5.1,low
Wagyu Flat Iron,2025-02-05,5.7,low
6X6 Frenched,2025-02-05,5.0,low
Plate,2025-02-05,5.4,low
Flank,2025-02-05,5.5,low
Bone-in Ribeye,2025-02-05,9.4,medium
Brisket,2025-02-05,10.0,medium
Pork Shoulder,2025-02-05,9.3,medium
Top Sirloin Butt,2025-02-05,9.1,medium
Round,2025-02-05,0.0,medium
Striploin Whole,2025-02-05,10.9,medium
Pork Loin,2025-02-05,22.2,best
Chuck Flat,2025-02-05,24.0,best
Pork Belly,2025-02-05,19.9,best
Chuck Primal,2025-02-05,22.3,best
Blade Eyes,2025-02-05,22.0,best
Tenderloin,2025-02-06,2.0,low
Shank,2025-02-06,5.4,low
Wagyu Flat Iron,2025-02-06,5.5,low
6X6 Frenched,2025-02-06,5.7,low
Plate,2025-02-06,3.7,low
Flank,2025-02-06,4.9,low
Bone-in Ribeye,2025-02-06,10.6,medium
Brisket,2025-02-06,9.1,medium
Pork Shoulder,2025-02-06,9.8,medium
Top Sirloin Butt,2025-02-06,8.8,medium
Round,2025-02-06,0.0,medium
Striploin Whole,2025-02-06,10.1,medium
Pork Loin,2025-02-06,22.5,best
Chuck Flat,2025-02-06,20.3,best
Pork Belly,2025-02-06,24.3,best
Chuck Primal,2025-02-06,22.9,best
Blade Eyes,2025-02-06,21.7,best
Tenderloin,2025-02-07,1.8,low
Shank,2025-02-07,5.0,low
Wagyu Flat Iron,2025-02-07,5.2,low
6X6 Frenched,2025-02-07,5.2,low
Plate,2025-02-07,2.0,low
Flank,2025-02-07,4.9,low
Bone-in Ribeye,2025-02-07,10.2,medium
Brisket,2025-02-07,10.4,medium
Pork Shoulder,2025-02-07,9.5,medium
Top Sirloin Butt,2025-02-07,8.8,medium
Round,2025-02-07,9.0,medium
Striploin Whole,2025-02-07,10.6,medium
Pork Loin,2025-02-07,24.4,best
Chuck Flat,2025-02-07,21.6,best
Pork Belly,2025-02-07,23.9,best
Chuck Primal,2025-02-07,23.4,best
Blade Eyes,2025-02-07,19.2,best
Tenderloin,2025-02-08,1.7,low
Shank,2025-02-08,5.7,low
Wagyu Flat Iron,2025-02-08,5.4,low
6X6 Frenched,2025-02-08,5.8,low
Plate,2025-02-08,0.0,low
Flank,2025-02-08,4.8,low
Bone-in Ribeye,2025-02-08,9.3,medium
Brisket,2025-02-08,11.3,medium
Pork Shoulder,2025-02-08,8.9,medium
Top Sirloin Butt,2025-02-08,8.8,medium
Round,2025-02-08,9.2,medium
Striploin Whole,2025-02-08,8.1,medium
Pork Loin,2025-02-08,20.4,best
Chuck Flat,2025-02-08,22.9,best
Pork Belly,2025-02-08,21.2,best
Chuck Primal,2025-02-08,21.0,best
Blade Eyes,2025-02-08,20.9,best
Tenderloin,2025-02-09,1.2,low
Shank,2025-02-09,4.1,low
Wagyu Flat Iron,2025-02-09,2.4,low
6X6 Frenched,2025-02-09,4.4,low
Plate,2025-02-09,0.0,low
Flank,2025-02-09,2.1,low
Bone-in Ribeye,2025-02-09,7.1,medium
Brisket,2025-02-09,9.5,medium
Pork Shoulder,2025-02-09,6.0,medium
Top Sirloin Butt,2025-02-09,6.1,medium
Round,2025-02-09,3.9,medium
Striploin Whole,2025-02-09,3.2,medium
Pork Loin,2025-02-09,11.8,best
Chuck Flat,2025-02-09,17.0,best
Pork Belly,2025-02-09,9.3,best
Chuck Primal,2025-02-09,8.8,best
Blade Eyes,2025-02-09,3.7,best
Tenderloin,2025-02-10,1.3,low
Shank,2025-02-10,5.2,low
Wagyu Flat Iron,2025-02-10,4.4,low
6X6 Frenched,2025-02-10,5.2,low
Plate,2025-02-10,4.2,low
Flank,2025-02-10,5.6,low
Bone-in Ribeye,2025-02-10,8.8,medium
Brisket,2025-02-10,10.1,medium
Pork Shoulder,2025-02-10,10.0,medium
Top Sirloin Butt,2025-02-10,10.8,medium
