schedule_date,source_primal,planned_primal_kg,status,priority,notes
2025-01-06,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-06,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-06,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-06,Shank,16.78,completed,low,today + next-day buffer
2025-01-06,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-07,Flank,33.43,completed,low,today + next-day buffer
2025-01-07,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-07,Wagyu Flat Iron,21.48,completed,low,today + next-day buffer
2025-01-07,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-07,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-07,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-07,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-07,Plate,25.47,completed,low,today + next-day buffer
2025-01-07,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-07,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-07,Round,116.4,completed,normal,today + next-day buffer
2025-01-07,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-07,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-07,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-07,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-07,Shank,16.78,completed,low,today + next-day buffer
2025-01-07,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-08,Flank,33.43,completed,low,today + next-day buffer
2025-01-08,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-08,Wagyu Flat Iron,21.48,completed,low,today + next-day buffer
2025-01-08,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-08,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-08,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-08,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-08,Plate,25.47,partial,low,today + next-day buffer
2025-01-08,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-08,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-08,Round,116.4,completed,normal,today + next-day buffer
2025-01-08,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-08,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-08,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-08,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-08,Shank,16.78,completed,low,today + next-day buffer
2025-01-08,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-09,Flank,33.43,completed,low,today + next-day buffer
2025-01-09,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-09,Wagyu Flat Iron,21.48,completed,low,today + next-day buffer
2025-01-09,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-09,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-09,Chuck Primal,290.73,partial,high,today + next-day buffer
2025-01-09,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-09,Plate,25.47,completed,low,today + next-day buffer
2025-01-09,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-09,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-09,Round,116.4,completed,normal,today + next-day buffer
2025-01-09,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-09,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-09,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-09,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-09,Shank,16.78,completed,low,today + next-day buffer
2025-01-09,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-10,Flank,44.58,partial,low,today + next-day buffer
2025-01-10,6X6 Frenched,30.05,completed,low,today + next-day buffer
2025-01-10,Wagyu Flat Iron,30.08,completed,low,today + next-day buffer
2025-01-10,Pork Belly,247.66,completed,high,today + next-day buffer
2025-01-10,Tenderloin,15.05,completed,low,today + next-day buffer
2025-01-10,Chuck Primal,358.57,partial,high,today + next-day buffer
2025-01-10,Striploin Whole,142.88,partial,normal,today + next-day buffer
2025-01-10,Plate,35.66,completed,low,today + next-day buffer
2025-01-10,Pork Shoulder,69.35,completed,normal,today + next-day buffer
2025-01-10,Chuck Flat,179.4,completed,high,today + next-day buffer
2025-01-10,Round,137.45,completed,normal,today + next-day buffer
2025-01-10,Pork Loin,157.34,completed,high,today + next-day buffer
2025-01-10,Blade Eyes,425.29,completed,high,today + next-day buffer
2025-01-10,Bone-in Ribeye,53.23,completed,normal,today + next-day buffer
2025-01-10,Top Sirloin Butt,74.3,completed,normal,today + next-day buffer
2025-01-10,Shank,24.13,completed,low,today + next-day buffer
2025-01-10,Brisket,57.69,partial,normal,today + next-day buffer
2025-01-11,Flank,55.72,completed,low,today + next-day buffer
2025-01-11,6X6 Frenched,36.06,completed,low,today + next-day buffer
2025-01-11,Wagyu Flat Iron,38.67,completed,low,today + next-day buffer
2025-01-11,Pork Belly,297.19,completed,high,today + next-day buffer
2025-01-11,Tenderloin,20.84,partial,low,today + next-day buffer
2025-01-11,Chuck Primal,426.41,completed,high,today + next-day buffer
2025-01-11,Striploin Whole,171.46,completed,normal,today + next-day buffer
2025-01-11,Plate,45.85,completed,low,today + next-day buffer
2025-01-11,Pork Shoulder,89.16,partial,normal,today + next-day buffer
2025-01-11,Chuck Flat,206.59,completed,high,today + next-day buffer
2025-01-11,Round,158.5,completed,normal,today + next-day buffer
2025-01-11,Pork Loin,188.81,completed,high,today + next-day buffer
2025-01-11,Blade Eyes,514.78,completed,high,today + next-day buffer
2025-01-11,Bone-in Ribeye,66.54,completed,normal,today + next-day buffer
2025-01-11,Top Sirloin Butt,95.53,completed,normal,today + next-day buffer
2025-01-11,Shank,31.47,completed,low,today + next-day buffer
2025-01-11,Brisket,73.42,completed,normal,today + next-day buffer
2025-01-12,Flank,44.58,partial,low,today + next-day buffer
2025-01-12,6X6 Frenched,30.05,completed,low,today + next-day buffer
2025-01-12,Wagyu Flat Iron,30.08,completed,low,today + next-day buffer
2025-01-12,Pork Belly,247.66,completed,high,today + next-day buffer
2025-01-12,Tenderloin,15.05,completed,low,today + next-day buffer
2025-01-12,Chuck Primal,358.57,partial,high,today + next-day buffer
2025-01-12,Striploin Whole,142.88,completed,normal,today + next-day buffer
2025-01-12,Plate,35.66,completed,low,today + next-day buffer
2025-01-12,Pork Shoulder,69.35,completed,normal,today + next-day buffer
2025-01-12,Chuck Flat,179.4,completed,high,today + next-day buffer
2025-01-12,Round,137.45,completed,normal,today + next-day buffer
2025-01-12,Pork Loin,157.34,completed,high,today + next-day buffer
2025-01-12,Blade Eyes,425.29,completed,high,today + next-day buffer
2025-01-12,Bone-in Ribeye,53.23,partial,normal,today + next-day buffer
2025-01-12,Top Sirloin Butt,74.3,completed,normal,today + next-day buffer
2025-01-12,Shank,24.13,completed,low,today + next-day buffer
2025-01-12,Brisket,57.69,completed,normal,today + next-day buffer
2025-01-13,Flank,33.43,completed,low,today + next-day buffer
2025-01-13,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-13,Wagyu Flat Iron,21.48,completed,low,today + next-day buffer
2025-01-13,Pork Belly,198.13,partial,high,today + next-day buffer
2025-01-13,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-13,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-13,Striploin Whole,114.31,partial,normal,today + next-day buffer
2025-01-13,Plate,25.47,completed,low,today + next-day buffer
2025-01-13,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-13,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-13,Round,116.4,completed,normal,today + next-day buffer
2025-01-13,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-13,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-13,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-13,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-13,Shank,16.78,completed,low,today + next-day buffer
2025-01-13,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-14,Flank,33.43,completed,low,today + next-day buffer
2025-01-14,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-14,Wagyu Flat Iron,21.48,completed,low,today + next-day buffer
2025-01-14,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-14,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-14,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-14,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-14,Plate,25.47,completed,low,today + next-day buffer
2025-01-14,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-14,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-14,Round,116.4,completed,normal,today + next-day buffer
2025-01-14,Pork Loin,125.87,partial,high,today + next-day buffer
2025-01-14,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-14,Bone-in Ribeye,39.92,partial,normal,today + next-day buffer
2025-01-14,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-14,Shank,16.78,completed,low,today + next-day buffer
2025-01-14,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-15,Flank,33.43,completed,low,today + next-day buffer
2025-01-15,6X6 Frenched,24.04,partial,low,today + next-day buffer
2025-01-15,Wagyu Flat Iron,21.48,completed,low,today + next-day buffer
2025-01-15,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-15,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-15,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-15,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-15,Plate,25.47,completed,low,today + next-day buffer
2025-01-15,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-15,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-15,Round,116.4,partial,normal,today + next-day buffer
2025-01-15,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-15,Blade Eyes,335.79,cancelled,high,today + next-day buffer
2025-01-15,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-15,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-15,Shank,16.78,completed,low,today + next-day buffer
2025-01-15,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-16,Flank,33.43,completed,low,today + next-day buffer
2025-01-16,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-16,Wagyu Flat Iron,21.48,completed,low,today + next-day buffer
2025-01-16,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-16,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-16,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-16,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-16,Plate,25.47,completed,low,today + next-day buffer
2025-01-16,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-16,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-16,Round,116.4,completed,normal,today + next-day buffer
2025-01-16,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-16,Blade Eyes,335.79,cancelled,high,today + next-day buffer
2025-01-16,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-16,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-16,Shank,16.78,completed,low,today + next-day buffer
2025-01-16,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-17,Flank,44.58,partial,low,today + next-day buffer
2025-01-17,6X6 Frenched,30.05,completed,low,today + next-day buffer
2025-01-17,Wagyu Flat Iron,30.08,completed,low,today + next-day buffer
2025-01-17,Pork Belly,247.66,completed,high,today + next-day buffer
2025-01-17,Tenderloin,15.05,partial,low,today + next-day buffer
2025-01-17,Chuck Primal,358.57,completed,high,today + next-day buffer
2025-01-17,Striploin Whole,142.88,completed,normal,today + next-day buffer
2025-01-17,Plate,35.66,completed,low,today + next-day buffer
2025-01-17,Pork Shoulder,69.35,completed,normal,today + next-day buffer
2025-01-17,Chuck Flat,179.4,completed,high,today + next-day buffer
2025-01-17,Round,137.45,completed,normal,today + next-day buffer
2025-01-17,Pork Loin,157.34,completed,high,today + next-day buffer
2025-01-17,Blade Eyes,425.29,completed,high,today + next-day buffer
2025-01-17,Bone-in Ribeye,53.23,completed,normal,today + next-day buffer
2025-01-17,Top Sirloin Butt,74.3,completed,normal,today + next-day buffer
2025-01-17,Shank,24.13,completed,low,today + next-day buffer
2025-01-17,Brisket,57.69,completed,normal,today + next-day buffer
2025-01-18,Flank,55.72,completed,low,today + next-day buffer
2025-01-18,6X6 Frenched,36.06,completed,low,today + next-day buffer
2025-01-18,Wagyu Flat Iron,38.67,completed,low,today + next-day buffer
2025-01-18,Pork Belly,297.19,completed,high,today + next-day buffer
2025-01-18,Tenderloin,20.84,completed,low,today + next-day buffer
2025-01-18,Chuck Primal,426.41,completed,high,today + next-day buffer
2025-01-18,Striploin Whole,171.46,completed,normal,today + next-day buffer
2025-01-18,Plate,45.85,completed,low,today + next-day buffer
2025-01-18,Pork Shoulder,89.16,completed,normal,today + next-day buffer
2025-01-18,Chuck Flat,206.59,partial,high,today + next-day buffer
2025-01-18,Round,158.5,completed,normal,today + next-day buffer
2025-01-18,Pork Loin,188.81,completed,high,today + next-day buffer
2025-01-18,Blade Eyes,514.78,completed,high,today + next-day buffer
2025-01-18,Bone-in Ribeye,66.54,completed,normal,today + next-day buffer
2025-01-18,Top Sirloin Butt,95.53,completed,normal,today + next-day buffer
2025-01-18,Shank,31.47,completed,low,today + next-day buffer
2025-01-18,Brisket,73.42,completed,normal,today + next-day buffer
2025-01-19,Flank,44.58,completed,low,today + next-day buffer
2025-01-19,6X6 Frenched,30.05,completed,low,today + next-day buffer
2025-01-19,Wagyu Flat Iron,30.08,completed,low,today + next-day buffer
2025-01-19,Pork Belly,247.66,completed,high,today + next-day buffer
2025-01-19,Tenderloin,15.05,completed,low,today + next-day buffer
2025-01-19,Chuck Primal,358.57,completed,high,today + next-day buffer
2025-01-19,Striploin Whole,142.88,partial,normal,today + next-day buffer
2025-01-19,Plate,35.66,completed,low,today + next-day buffer
2025-01-19,Pork Shoulder,69.35,partial,normal,today + next-day buffer
2025-01-19,Chuck Flat,179.4,completed,high,today + next-day buffer
2025-01-19,Round,137.45,partial,normal,today + next-day buffer
2025-01-19,Pork Loin,157.34,completed,high,today + next-day buffer
2025-01-19,Blade Eyes,425.29,completed,high,today + next-day buffer
2025-01-19,Bone-in Ribeye,53.23,completed,normal,today + next-day buffer
2025-01-19,Top Sirloin Butt,74.3,completed,normal,today + next-day buffer
2025-01-19,Shank,24.13,completed,low,today + next-day buffer
2025-01-19,Brisket,57.69,partial,normal,today + next-day buffer
2025-01-20,Flank,33.43,completed,low,today + next-day buffer
2025-01-20,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-20,Wagyu Flat Iron,21.48,cancelled,low,today + next-day buffer
2025-01-20,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-20,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-20,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-20,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-20,Plate,25.47,completed,low,today + next-day buffer
2025-01-20,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-20,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-20,Round,116.4,completed,normal,today + next-day buffer
2025-01-20,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-20,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-20,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-20,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-20,Shank,16.78,completed,low,today + next-day buffer
2025-01-20,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-21,Flank,33.43,completed,low,today + next-day buffer
2025-01-21,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-21,Wagyu Flat Iron,21.48,cancelled,low,today + next-day buffer
2025-01-21,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-21,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-21,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-21,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-21,Plate,25.47,partial,low,today + next-day buffer
2025-01-21,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-21,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-21,Round,116.4,completed,normal,today + next-day buffer
2025-01-21,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-21,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-21,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-21,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-21,Shank,16.78,completed,low,today + next-day buffer
2025-01-21,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-22,Flank,33.43,completed,low,today + next-day buffer
2025-01-22,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-22,Wagyu Flat Iron,21.48,cancelled,low,today + next-day buffer
2025-01-22,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-22,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-22,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-22,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-22,Plate,25.47,partial,low,today + next-day buffer
2025-01-22,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-22,Chuck Flat,152.22,partial,high,today + next-day buffer
2025-01-22,Round,116.4,completed,normal,today + next-day buffer
2025-01-22,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-22,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-22,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-22,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-22,Shank,16.78,completed,low,today + next-day buffer
2025-01-22,Brisket,41.96,partial,normal,today + next-day buffer
2025-01-23,Flank,33.43,completed,low,today + next-day buffer
2025-01-23,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-23,Wagyu Flat Iron,21.48,cancelled,low,today + next-day buffer
2025-01-23,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-23,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-23,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-23,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-23,Plate,25.47,partial,low,today + next-day buffer
2025-01-23,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-23,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-23,Round,116.4,partial,normal,today + next-day buffer
2025-01-23,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-23,Blade Eyes,335.79,partial,high,today + next-day buffer
2025-01-23,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-23,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-23,Shank,16.78,completed,low,today + next-day buffer
2025-01-23,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-24,Flank,44.58,completed,low,today + next-day buffer
2025-01-24,6X6 Frenched,30.05,completed,low,today + next-day buffer
2025-01-24,Wagyu Flat Iron,30.08,cancelled,low,today + next-day buffer
2025-01-24,Pork Belly,247.66,completed,high,today + next-day buffer
2025-01-24,Tenderloin,15.05,completed,low,today + next-day buffer
2025-01-24,Chuck Primal,358.57,completed,high,today + next-day buffer
2025-01-24,Striploin Whole,142.88,completed,normal,today + next-day buffer
2025-01-24,Plate,35.66,completed,low,today + next-day buffer
2025-01-24,Pork Shoulder,69.35,completed,normal,today + next-day buffer
2025-01-24,Chuck Flat,179.4,completed,high,today + next-day buffer
2025-01-24,Round,137.45,completed,normal,today + next-day buffer
2025-01-24,Pork Loin,157.34,completed,high,today + next-day buffer
2025-01-24,Blade Eyes,425.29,partial,high,today + next-day buffer
2025-01-24,Bone-in Ribeye,53.23,completed,normal,today + next-day buffer
2025-01-24,Top Sirloin Butt,74.3,completed,normal,today + next-day buffer
2025-01-24,Shank,24.13,completed,low,today + next-day buffer
2025-01-24,Brisket,57.69,completed,normal,today + next-day buffer
2025-01-25,Flank,55.72,completed,low,today + next-day buffer
2025-01-25,6X6 Frenched,36.06,completed,low,today + next-day buffer
2025-01-25,Wagyu Flat Iron,38.67,cancelled,low,today + next-day buffer
2025-01-25,Pork Belly,297.19,cancelled,high,today + next-day buffer
2025-01-25,Tenderloin,20.84,completed,low,today + next-day buffer
2025-01-25,Chuck Primal,426.41,completed,high,today + next-day buffer
2025-01-25,Striploin Whole,171.46,completed,normal,today + next-day buffer
2025-01-25,Plate,45.85,cancelled,low,today + next-day buffer
2025-01-25,Pork Shoulder,89.16,completed,normal,today + next-day buffer
2025-01-25,Chuck Flat,206.59,completed,high,today + next-day buffer
2025-01-25,Round,158.5,completed,normal,today + next-day buffer
2025-01-25,Pork Loin,188.81,completed,high,today + next-day buffer
2025-01-25,Blade Eyes,514.78,completed,high,today + next-day buffer
2025-01-25,Bone-in Ribeye,66.54,completed,normal,today + next-day buffer
2025-01-25,Top Sirloin Butt,95.53,completed,normal,today + next-day buffer
2025-01-25,Shank,31.47,completed,low,today + next-day buffer
2025-01-25,Brisket,73.42,completed,normal,today + next-day buffer
2025-01-26,Flank,44.58,completed,low,today + next-day buffer
2025-01-26,6X6 Frenched,30.05,completed,low,today + next-day buffer
2025-01-26,Wagyu Flat Iron,30.08,cancelled,low,today + next-day buffer
2025-01-26,Pork Belly,247.66,cancelled,high,today + next-day buffer
2025-01-26,Tenderloin,15.05,completed,low,today + next-day buffer
2025-01-26,Chuck Primal,358.57,cancelled,high,today + next-day buffer
2025-01-26,Striploin Whole,142.88,completed,normal,today + next-day buffer
2025-01-26,Plate,35.66,cancelled,low,today + next-day buffer
2025-01-26,Pork Shoulder,69.35,completed,normal,today + next-day buffer
2025-01-26,Chuck Flat,179.4,completed,high,today + next-day buffer
2025-01-26,Round,137.45,completed,normal,today + next-day buffer
2025-01-26,Pork Loin,157.34,completed,high,today + next-day buffer
2025-01-26,Blade Eyes,425.29,completed,high,today + next-day buffer
2025-01-26,Bone-in Ribeye,53.23,completed,normal,today + next-day buffer
2025-01-26,Top Sirloin Butt,74.3,partial,normal,today + next-day buffer
2025-01-26,Shank,24.13,completed,low,today + next-day buffer
2025-01-26,Brisket,57.69,completed,normal,today + next-day buffer
